DOI,TREATMENT,INOCTYPE,RESPONSE,SOILTYPE,FIELDGREENHOUSE,LANDUSE,ECOTYPE,ECOREGION,LOCATION
10.3390/jof9060684,the inoculation; uninoculated treatments; AMF inoculation; respectively uninoculated; HM; AMF,Glomus mosseae intraradices; Glomus intraradices; Arbuscular mycorrhizal fungi (AMF); Glomus mosseae; AMF inoculation,biomass; growth; the biomass uptake; biomass The heights; plant biomass,HM-contaminated soil; contaminated soil; tailings,greenhouse pot,HM various contamination sampling; heavy metal; the remediation; Shuikoushan lead/zinc mining,Robinia; pseudoacacia R.; pseudoacacia; black locust,,China inoculation obtained; Hunan province; Shuikoushan
10.3390/jof9060677,arsenic As; co-inoculation; As concentrations; the co-inoculation; AMF Fe; As; treatments As25; As50 treatments; As25 As50; low As25 As50; treatment As25; As low; low moderate; AMF compounds mosseae; AMF,Funneliformis mosseae; Arbuscular mycorrhizal fungi (AMF),the biomass; stem biomass,cropland soil,pot experiment,contamination; toxicity; heavy metals; contaminated,maize L.; maize; Zea mays,,
10.1016/j.scitotenv.2023.164970,Cr; heavy metal; CDF; fungi inoculation; Chromium Cr; rhizosphere microbial; (Cr); heavy metal stress; AMF; rhizosphere microorganisms,arbuscular mycorrhizal fungi (AMF); AMF inoculation,the biomass levels; the growth; plant growth,Cr-contaminated soil,greenhouse pot,heavy metals,I. tectorum; wetland; Iris tectorum,,
10.3389/fmicb.2023.1131797,single inoculation; the uninoculated treatment; BC inoculation; uninoculated treatment; inoculation; the SC co-inoculation; SC BC inoculation; SC inoculation  ; inoculation dual; AMF Bacillus; BC Inoculation; AMF; SC BC inoculation  ; SC co-inoculation; BC co-inoculation; SC BC; Inoculation with SC; SC + BC; Bacillus; Inoculation; BC + SC; BC; AMF dominant constrictum SC cereus,arbuscular mycorrhizal fungi (AMF); Bacillus cereus; constrictum cereus S.; Septoglomus constrictum; constrictum cereus B.; Bacillus; Bacillus cereus BC,the growth competitiveness; amethystoides biomass; growth; the biomass; the competitive growth,,pot cultures,,adenophora A. mixture; adenophora amethystoides R.; Ageratina adenophora; amethystoides R.; adenophora A.; adenophora amethystoides A.; Rabdosia amethystoides,,
10.3389/fpls.2023.1134995,non-mineralized; the inoculation; control group; the low N treatment; sand treatment; TN; TC; nitrogen ammonium content; N treatment; infected; NH4 TN; soil type; four AMF; TS; total sulfur; sand treatments; AMF,claroideun G.; Rhizophagus irregularis; Glomus; irregularis Glomus claroideun; Arbuscular mycorrhizal fungi (AMF); claroideun inoculation etunicatum G.; Rhizophagus irregularis claroideun; Glomus claroideun; etunicatum; etunicatum G.; mosseae; claroideun etunicatum G.; Glomus claroideun inoculation,the biomass height number,nutrient-poor soil; copper tailings,,ecological restoration; restoration; mining,I. cylindrica; Imperata cylindrica,terrestrial ecosystems,
10.3390/microorganisms11051144,control treatment; drought severe; 80% of the WHC; drought treatment; drought no treatment; AMF native; 50% of the WHC; drought; (30% of the water-holding capacity; soil water; drought moderate; drought % % moderate; AMF,AMF inoculum; Arbuscular mycorrhizal fungi (AMF),microbial biomass; plant biomass,,,,maize,,
10.3390/microorganisms11051113,biochar; Inoculum C; Inoculum A; Inoculum B; A Inoculum; Biochar; inoculum; without biochar; when inoculated; AMF,arbuscular mycorrhizal fungi (AMF); soil from a soil from an undisturbed site; AMF inoculum; soil soil from an undisturbed site; commercial inoculum,biomass; growth,,greenhouse,degradation,Ventenata dubia; Taeniatherum caput-medusae; T. caput-medusae; sagebrush steppe; V. dubia; Pseudoroegneria spicata; P. spicata,,
10.3390/plants12112195,sup>+</sup treatment; P addition; P Exogenous phosphorus (P); without AMF; three; AMF inoculation levels; AMF; P fertilizer,arbuscular mycorrhizal fungi (AMF); AMF inoculation,root biomass; root growth,,,,E. adenophorum; E. lindleyanum; plant Eupatorium lindleyanum,,
10.3390/life13051118,inoculated; four; phosphorus (P)-deficient; MBC; FDA; AMF inoculated; of four; uninoculated control; AMF,arbuscular mycorrhizal fungi (AMF); Claroideoglomus; Glomus; Rhizophagus; Funneliformis; Acaulospora,microbial biomass; plant growth,,,,rice; sustainable rice; rice aerobic,,
10.3390/jof9050540,CON-no mycorrhizae; excess; CON; AMF MIX-with; AMF NAT-with native combined; MIX NAT; without AMF; AMF native; three; treatment; AMF; low surface moisture; low nutrient content; inoculate,arbuscular mycorrhizal fungi (AMF); imperialis B. excess P.; imperialis B.; AMF inoculation treatments,root biomass,,,impacted,pioneer; imperialis B.; Bellucia imperialis; P. B.,,the Central Amazon
10.3390/plants12091908,inoculated plants; AM; three replications; soil microorganism; AMF inoculated; fertilizer; AMF+; AMF- untreated; without AMF-; AMF; AMF- regimes untreated dose dose,AMF inoculation; Arbuscular Mycorrhizal Fungi (AMF),plant height; increased biomass; growth productivity,,field,conventional organic cropping; crop; crop two-rowed barley,barley,Mediterranean climates,
10.1093/treephys/tpad064,EM; AM EM fungi; ectomycorrhizal EM; inoculated; AM plants; AM; nutrient stress; AM EM; AM EM inoculated; SCW,arbuscular (AM) AM ectomycorrhizal fungi,biomass; plant biomass; wood biomass,,the field,wood production,Populus,,
10.3390/jof9040479,Inoculation; Cu; inoculation; high Mo; Mo; 2000 mg/kg; the bioremediation; Mo addition; AMF etunicatum; Mo stress; AMF; molybdenum (Mo) Mo,arbuscular mycorrhizal fungi (AMF); etunicatum intraradices C.; intraradices R.; Rhizophagus intraradices; etunicatum C.; etunicatum intraradices R.; Claroideoglomus etunicatum; Claroideoglomus etunicatum intraradices; AMF inoculation; etunicatum Rhizophagus intraradices,growth; the biomass,Mo-polluted soil,pot culture,heavy metals,maize,,
10.3390/biology12040628,MAPs inoculated; inoculated AMF; ectomycorrhizal; MAPs co-cultured; MAPs; AMF melanosporum; truffle-oak-AMF-MAP; MAPs AMF-inoculated; MAPs All AMF-inoculated; alone; the MAPs co-cultured; when inoculated; AMF; non-inoculated,arbuscular mycorrhizal fungi (AMF); Tuber melanosporum; AMF Tuber melanosporum,growth colonization; root biomass; growth truffle-oaks,,a shadehouse; the field,a secondary crop; mixed truffle-oak-AMF-MAP plantations; agro-forest,truffle; intercropping; truffle-oaks; truffle-oaks'; black truffle; T. melanosporum,,
10.1186/s12284-023-00635-2,compound inoculants; salt stress; non-inoculation; inoculant treatment; treatment; compound inoculum; NaCl; inoculation; AMF,Funneliformis mosseae; Piriformospora indica; Arbuscular mycorrhizal fungi (AMF); Piriformospora Pi indica rhizogenes; Funneliformis mosseae Fm; Agrobacterium rhizogenes; Ar indica Agrobacterium rhizogenes,the rice growth; seedling biomass; plant growth,soil salinization; salinized soil,,,rice,,
10.1016/j.ecoenv.2023.114776,the AMF; Hg especially methyl-Hg; soil microorganisms; micro-indexes; AMF; non-inoculated,arbuscular mycorrhizal fungi (AMF); AMF inoculation; AMF inoculations,biomass micro-indexes; growth; the growth; growth Hg,heavy metal-contaminated,pot,soil heavy metal; heavy metal; the remediation,rice the; rice; rice the itself,,
10.1016/j.micres.2023.127350,a control treatment; AMF PGPR; PGPR; soil water; 30%; dual-inoculated single; inoculation; a combination; inoculation individual; no water stress; AMF PGPR sp.; severe drought; all treatments; drought moderate; a PGPR consortium; AMF; treatment uninoculated; control treatment; the treatments severe; 50%; PGPR only iii consortium; AMF-inoculated; AMF PGPR combination clarus; AMF the inoculation; severe stress; AMF PGPR consortium; 80%; AMF only; the treatment uninoculated; without inoculation; drought; plants inoculated with bacteria; microbial inoculation,Rhizophagus clarus; plant growth-promoting rhizobacteria; Arbuscular mycorrhizal fungi (AMF); AMF inoculation; Bacillus,biomass,,microcosm,,maize,,
10.3389/fpls.2023.1140467,inoculated plants; non-AMF treatment; inadequate phosphorus (P) P; low P; P treatment Low; low treatment; moderate; moderate low; JrPTs; P low treatment; inoculation; AMF; PTs,Arbuscular mycorrhizal fungi (AMF),growth yield; height total biomass; walnut growth activities; exchange rate height diameter biomass; plant growth,,,,regia; Walnut regia; nut; Diversispora spurca; walnut; Walnut Juglans regia; Juglans regia,,
10.3390/plants12051184,control; sterile soil; AM; AM fungi,arbuscular mycorrhizal (AM); whole soil collections,seedling biomass,ex-arable soils; ex-arable soil,pots,US grassland restorations faberi; restoration; ex-arable,grassland; nearby tallgrass prairie; prairie,,US
10.1186/s12870-023-04111-3,juglone; WW; DS; drought; stress well-watered WW; WW DS; drought mycorrhiza-enhanced; inoculation; AMF,Diversispora spurca; AMF inoculation; Arbuscular mycorrhizal fungi (AMF); arbuscular mycorrhizal fungus,biomass; root biomass,,,,walnut regia; walnuts; walnut; walnut Juglans regia; Juglans regia,,
10.3389/fpls.2023.1101932,high nutrient soil; low nutrient soil; the AMF; Fertilization; contrasting levels of soil water; soil nutrient levels; the water high water treatment; high water treatment; low water; nutrient conditions; soil water; nutrients fertilization; nutrient levels; AMF; high nutrient; phosphate fertilization,arbuscular mycorrhizal fungi (AMF); Funneliformis mosseae; AMF inoculation,the growth; growth defense; the responses; plant growth; plant biomass,,nursery,,Chrysolina aeruginosa; Artemisia ordosica,,
10.3390/plants12030547,soil cadmium stress; Cd stress; soil Cd; inoculating; Cd; AMF inoculation; AMF inoculating; inoculation; Cd MDA; AMF,arbuscular mycorrhizal fungi (AMF); AMF inoculation,plant biomass; the growth,heavy metal; contaminated soils,pot experiment,Heavy metal; metal contamination; Remediation; heavy metal,Medicago truncatula,,
10.1007/s00442-023-05329-6,soil biota; non-invasive; unconditioned biota; all; altered nutrient levels; inoculum; some no biota; unconditioned soil,unconditioned; soil filtrate; self-conditioned; unconditioned filtrate; whole-soil inoculum; self-conditioned unconditioned; soil conditioning,less biomass; Biomass,,,,non-invasive C. oleraceum; Cirsium vulgare,,European
10.3390/microorganisms11010050,Colonization; drought; drought abiotic; sterile active; AMF,arbuscular mycorrhizal fungi (AMF); nova A.; commercial AMF inoculum; Commercial AMF inoculation; commercial inoculum,biomass; growth survival establishment; plant biomass,field soil,field,,Artemisia nova; Artemisia tridentata; Taeniatherum caput-medusae; T. caput-medusae; sagebrush steppe; tridentata ssp; The genus Artemisia; Artemisia plants; Artemisia spp; Artemisia arbuscula,,North American
10.1007/s00284-022-03145-4,fungi inoculation; mycorrhizal inoculum; the inoculum; AMF,arbuscular mycorrhizal fungi (AMF); AMF inoculum; AMF inoculums; Funneliformis geosporum; commercial inoculum,the growth nutrition; shoot biomasses; yield,Algerian saline; saline soils,greenhouse,ecological restoration; crop; agricultural; agriculture legume,semiarid; Trifolium alexandrinum; Medicago falcata; Trifolium repens; Trifolium repens alexandrinum,semiarid saline,Algerian
10.1016/j.scitotenv.2022.160616,Soil fungi; soil ectomycorrhizal; inoculated compared,early-successional inoculated; fungal pathogens,biomass communities; seedling biomass; the growth,late-successional soil; rooting zone soils; late-successional soils; early-successional soil; fungal-dominated,,grassland succession; succession forest,grassland; pioneer; Betula albosinensis; Picea asperata; Abies faxoniana; B. albosinensis; B. platyphylla; pioneer broadleaf; coniferous tree; Betula platyphylla; nonpioneer,,
10.1016/j.scitotenv.2022.160550,inoculum; soil nutrient levels; AMF; generally low,arbuscular mycorrhizal fungi (AMF); arbuscular mycorrhizal plant species,microbial biomass; biomass,,,plant succession,glacier forelands,,northern Sweden
10.3390/microorganisms10112287,in combination; TE-polluted soils; Cd Zn; Cd; sewage,arbuscular mycorrhizal fungi (AMF); arbuscular mycorrhizal fungus (Funneliformis mosseae; AMF inoculation,microbial biomass; the growth,trace elements (TE)-polluted soils,,,coriander L.; sativum; Coriandrum; sativum C.,,
10.3389/fpls.2022.1022319,Drought; AMF combination; Co-inoculated plants; moisture; co-inoculated with; (DS); AMF; phosphate solubilizing bacteria; AMF presence; a PSB combination; phosphate PSB AMF presence absence of RP; presence RP; presence absence; presence absence of; RP; PSB; PSB AMF co-inoculated; four factors; PSB AMF; PSB combination; drought; presence presence absence,arbuscular mycorrhizal fungi (AMF); Rhizophagus aggregatus,yield; plant biomass; plant growth; root growth; the growth production,,,,Helianthus tuberosus,,
10.3389/fpls.2022.993301,silty-loam soil; inoculation; ectomycorrhizal; mycorrhizal inoculation,arbuscular mycorrhizal fungi (AMF); Geopora Arenicola; commercial inoculum; Mortierella elongata; Geopora Arenicola elongata; endophytic fungi; ectomycorrhizal fungi (ECM); Arenicola Mortierella elongata,biomass,contaminated sites; trace-element contaminated soils; sandy soil,replicated field,Afforestation; element contamination; toxic; bioremediation,Populus trichocarpa Populus; poplar maximowiczii; poplar; x Populus trichocarpa Populus maximowiczii,,Pierrelaye Fresnes-sur-Escaut; Pierrelaye Fresnes-sur-Escaut France; Fresnes-sur-Escaut respectively
10.1007/s11356-022-23919-4,Cu Control 400 500 600 sup>-l</sup; Cu; AM; As;   Cu,intraradices; intraradices R.; Funneliformis mosseae; Arbuscular mycorrhizal (AM); Rhizophagus intraradices mosseae; mosseae F.; intraradices mosseae R.; intraradices Funneliformis mosseae; Rhizophagus intraradices; intraradices mosseae F.,growth; dry biomass; the growth; plant growth,polluted soils; Cu-contaminated soils; contaminated soils,pot,toxic,pudica M.,,
10.1016/j.chemosphere.2022.137106,the native AM fungus; fermented sugar beet; untreated soil; combined treatment; in combination; Gerd; alone; The treatment combining; inoculation,arbuscular mycorrhizal (AM); Funneliformis mosseae; Trappe; Funneliformis mosseae Nicol; a native bacterium Frankland; cereus; the native bacterium; Bacillus,dry biomass; root biomass,,field,mine; heavy metals,semiarid; Lygeum spartum,,
10.1007/s00248-022-02132-3,un-inoculated plants; inoculated; horizontal; non-mycorrhizal; away; trophic groups,Rhizophagus intraradices; Rhizophagus intraradices inoculated; arbuscular mycorrhizal fungus,biomass,,microcosms,,Zea mays; Z. mays,terrestrial ecosystems,
10.3389/fpls.2022.1015947,infested; AMF dominant etunicatum; nymphs; inoculation; AMF,arbuscular mycorrhizal fungi (AMF); etunicatum constrictum inoculation C.; etunicatum C.; Septoglomus constrictum; etunicatum constrictum S.; constrictum S.; Claroideoglomus etunicatum; etunicatum Septoglomus constrictum; Claroideoglomus etunicatum constrictum; AMF inoculation,growth; the biomass nutrient; the biomass aboveground; root biomass,,,,Aphis gossypii; Ageratina adenophora; adenophora A. etunicatum; adenophora the A.; adenophora A.,,
10.3390/toxics10100574,Inoculation; Ce; inoculation Ce; As; arsenic; Ce Inoculation; arsenic As; inoculation; AM fungi,Claroideoglomus etunicatum; the fungus Claroideoglomus etunicatum Ce; Arbuscular mycorrhizal (AM) fungi; Chinese,the biomass,As-contaminated soil,,contaminated; agricultural; The intercropping; heavy metal,L. maize; maize; Pterisvittata; Zea mays; P. vittata; vittata maize; intercropping the; vittata maize grown,,
10.3390/toxics10100565,Fm fertilizer; Se available; Se the bioavailable; Se AMF fertilizer; Se Fm fertilizer; inoculation; AMF fertilizer; Se the organic highest; AMF; fertilization; Se DDI; Se AMF; Ce Fm; the WHO; Se biofortification; Se fertilizer; Se; single Se; inoculated grown; (DDI); Se soil more water-soluble uptake; Se organic; Se Se,etunicatum Funneliformis mosseae Fm; Funneliformis mosseae; Arbuscular mycorrhizal fungi (AMF); Claroideoglomus etunicatum Ce mosseae; Claroideoglomus etunicatum; AMF inoculation,soybean accumulation speciation biomass; root growth,,pot,,Glycine; soybean; Soybean inoculated; Soybean,,
10.1080/15592324.2022.2134676,inoculation; cesium chloride; AM; the AM fungus; > cesium; sup>+</sup>-free nutrient,Arbuscular mycorrhizal (AM); irregularis; Rhizophagus,root biomass,,,,Medicago truncatula,,
10.1186/s12870-022-03790-8,wheat-stressed plants; Mycorrhizal inoculation; > T2; Alkalinity stress; AMF; non-inoculated; mycorrhizal fungi,AMF inoculation,growth; plant biomass; plant growth; crop yield,Alkaline soils,pot experiment,ecological restoration; crop,Triticum; wheat; aestivum,semi-arid,
10.3389/fpls.2022.968719,high gravel; low gravel; free gravel; 80% soil; treatment; without; AMF,Arbuscular mycorrhizae fungi (AMF); fungus; fungus Glomus etunicatum; Glomus etunicatum,the growth nutrition; growth nutrients; growth nutrients higher; plant growth; the growth highest absorption; the aboveground biomass,,,,Karst ecosystems; pilosa B.; Bidens pilosa,,
10.1186/s12864-022-08797-x,MicroRNAs miRNAs; miRNAs genes; miRNAs the Cu; AM; Dacotah; miRNA AM; miRNAs Cu; AM colonized; miRNAs downregulated; miRNAs novel; AM-inoculated control switchgrass; Copper miRNA; Alamo; miRNAs residing; these Cu-miRNAs,arbuscular mycorrhizae (AM),switchgrass biomass,,,an emerging biofuel feedstock; crop; biofuel feedstock; biofuel this crop; switchgrass,AM colonized switchgrass virgatum; lowland upland hybrids genotypes; upland; Panicum virgatum; lowland upland; lowland,,
10.1016/j.envpol.2022.120309,Ri inoculation; Ri; inoculation; Cd stress; Ri treatment; the Ri treatment inoculated; Ri-hemp; AMF-crop; Cd; noninoculation treatment; different treatments; hemp inoculated; the Ri treatment; PSII; hemp L.,Rhizophagus; irregularis; Arbuscular mycorrhizal fungi (AMF),the biomass; growth photosynthetic; plant growth; the growth,Cd-contaminated soil,,heavy metal,Cannabis sativa,,
10.3389/fmicb.2022.1006140,chrysophanol polydatin; AM plants; inoculated uninoculated plants; physcion polydatin; chrysophanol; PcRS; concentrations physcion chrysophanol polydatin; PcCHS2; emodin; physcion chrysophanol; PcCRS1; inoculation,arbuscular mycorrhizal (AM); mosseae; Funneliformis mosseae; mosseae F.,biomass; growth; height; plant growth; the growth concentrations,,,,P. cuspidatum; Polygonum cuspidatum,,
10.3390/plants11172276,AM fungal; inoculation; AM fungi,arbuscular mycorrhizal (AM); commercial AM fungal; commercial AM fungal inoculants; commercial inoculants,the growth; plant growers; controlled growth; plant growth; plant biomass,,,restoration,grassland; grasslands,,
10.3389/fpls.2022.965576,soil biota; conditioning; microplastic this; PET; microplastic types; microplastics depending; control soil; 12 soils; inoculum; this inoculum; soil water; Microplastics; microplastics,soil inoculum; soil conditioned conditioned; soil conditioned,mass higher; root mass; plant growth; shoot mass; plant biomass,,,,Daucus carota; a carota native D. epigejos; a species Calamagrostis epigejos; epigejos C.; carota D.,,Microplastic legacy
10.1007/s11356-022-22540-9,equivalent Ag<sup>+</sup>-exposed; soil microorganisms; non-inoculated; AgNP; Ag; AgNPs; AgNP-exposed; AMF; mycorrhizal inoculation,Funneliformis mosseae; AMF inoculation; Arbuscular mycorrhizal fungi (AMF),biomass; growth; plant biomass,,,,Phragmites australis australis Trin; Phragmites australis,,
10.3389/fpls.2022.845794,fertilizer NPK; synthetic fertilizer NPK; unfertilized; non-mycorrhizal controls; without synthetic fertilizer; inoculum; CRD; fertilizer with synthetic; inocula; non-mycorrhizal; sativa KKU05; AMF; CBD THC,arbuscular mycorrhizal fungi (AMF); Rhizophagus prolifer; R. aggregatus,growth yield; plant biomass; growth cannabinoid yield,,,cannabis cultivation,prolifer R.; Cannabis sativa; cannabis,,
10.3389/fpls.2022.947547,biochar; control; Drought; AMF Biochar; drought; water stress; AMF biochar; AMF,arbuscular mycorrhizal fungi (AMF),microbial biomass; growth soybean activities parameters; yield; plant height; traits growth; dry weight; plant growth; root growth; growth activities parameters tolerance; plant growth significantly height,,,many crops,soybean; AMF soybean,,
10.3389/fmicb.2022.827293,four; inoculation; AMF; non-inoculated,arbuscular mycorrhizal fungi (AMF); greenhouse-cultured native AMF; whole soil,plant growth neighboring; AMF biomass growth; plant growth,,,agriculture; Human land use; tallgrass prairie restorations,tallgrass prairie; a prairie nearby unplowed; Midwestern tallgrass prairies,,Midwestern; United States
10.3390/plants11141860,nodule; salt stress; inoculated; ectomycorrhizae; mycorrhizae; mM NaCl; Mycorrhizae; salt exposure; nitrogen fixation,Frankia Hebeloma; Frankia,increased biomass; plant growth,,,oil sands; The mining,crispa with; alnobetula subsp; Frankia-inoculated plants; Alnus alnobetula,boreal forest,Canada
10.1038/s41598-022-17075-5,biochar; soil AMF; treatment shorter; highly; in combination; biochar pyrolysis; soil treatment; Biochar soil; moderately; Soil inoculation; DOR; alone; AMF; Biochar; slightly; DOR-based biochar; AM fungus fungus,arbuscular mycorrhizal fungi (AMF); soil inoculation; Funneliformis mosseae; AMF fungi; AM Funneliformis mosseae; mosseae F.,a biomass resulting,contaminated soils less; contaminated soils,greenhouse microcosm; microcosm each,contamination level; soil contamination level; slightly moderately highly polluted,wheat; olive,,
10.1038/s41396-022-01293-w,soil fertility; AM fungal; AM fungi; Soil biota,arbuscular mycorrhizal (AM),plant biomass,,the greenhouse inoculated; a greenhouse; the field,,Conyza plants; Conyza canadensis,,
10.1002/fes3.370,80%; crop-mycorrhizal; mixed inoculum; doubled-haploid; inoculation; without; mycorrhizal inoculation,arbuscular mycorrhizal fungi; arbuscular mycorrhizal symbioses,shoot biomass; biomass increasing; growth; Plant growth,,,cereal crops; crops; crop; All cereal crops,Avalon; Triticum; wheat; aestivum; Cadenza; wheat L.,,
10.3390/plants11131780,soil fertility; vitro-obtained; without salinity stress; Soil salinity; AMF; salinity stress; biofertilizers,arbuscular mycorrhizal fungi (AMF); intraradices G.; Glomus intraradices; fungus intraradices; the fungus Glomus intraradices,biomass,saline soils,the greenhouse,different crops; crop; crop this,esculenta; taro cv; taro; Colocasia esculenta; Schott cv,,
10.3390/plants11131743,fungi roots T3; inoculated; T1 T2; AMF treatment; mycorrhizal treatment; T1 control; T1 fertigation; T3; three treatments; AMF; without fertilizer; soil microorganisms; mycorrhizae; the genotype treatment; different treatments; without mycorrhizae; genotype treatment; fertilizers; treatments T1 control colonization T2 fertigation,arbuscular mycorrhizal fungi (AMF); Arbuscular mycorrhizal fungi (AMF),vegetative biomass; fruit yield; Plant growth,,,agronomic; crop; tomato crops,tomatoes L.; tomato; Solanum; lycopersicum,,
10.1016/j.envpol.2022.119661,the inoculation; nZVI AMF; AMF inoculation; hazardous growth-promotion; AMF,arbuscular mycorrhizal fungi (AMF); Funneliformis mosseae,maize biomass; biomass; growth; plant growth,,,agriculture,maize,,
10.3389/fpls.2022.898378,Inoculation; water; actinomycetes; DSE; different treatments; the absence of; DSE Inoculation; drought,Alternaria chlamydospore; phragmitis Microascus alveolaris; phragmitis chlamydospore N.; phragmitis chlamydospore A.; phragmitis Alternaria chlamydospore; DSE inoculation; arbuscular mycorrhiza (AM); Microascus alveolaris; Neocamarosporium phragmitis; Neocamarosporium phragmitis chlamydospore alveolaris,the growth parameters; plant growth; the indexes biomass,,,,drylands; Lycium ruthenicum; ruthenicum plants; ruthenicum L.,,
10.3389/fpls.2022.892826,soil inoculation; PGPR inoculations; drought-stressed; PGPR fluorescens; AMF inoculations treatments; AMF PGPR inoculations; dual inoculations; water; 83%-84%; PGPR; non-inoculated controls; drought; drought highly; soil water; AMF dual inoculations; AMF Single dual; AMF Single applied; PGPR treatments,arbuscular mycorrhizal fungi (AMF); soil inoculations; Rhizophagus irregularis; Funneliformis mosseae irregularis; Funneliformis mosseae; plant growth-promoting rhizobacteria; mosseae Rhizophagus irregularis; Pseudomonas fluorescens; Pseudomonas fluorescens putida,biomass; leaf biomass; root biomass; biomass traits,,field; greenhouse,restoration; crop; over-exploitation habitat destruction; urban,Myrtus communis; P. putida; myrtle future-proofing; (semi-)arid; myrtle; evergreen shrub; Common myrtle,Palearctic region,
10.3389/fpls.2022.898969,Locusta migratoria; mycorrhizal inoculation; mycorrhizal treatment; Inoculation assays; insect damage; insect control; AMF inoculation; AMF; non-inoculated,arbuscular mycorrhizal fungi (AMF); Funneliformis; Funneliformis mosseae,the growth uptake; plant biomass,,,,terrestrial plants; forage grasses; gramineous; Elymus nutans,,
10.1016/j.plantsci.2022.111308,Soil inoculation; drought,Rhizophagus irregularis,fruit yield; height; shoot biomass,,glasshouse,,red tomatoes; tomato >; tangerine tomato; MicroTom tangerine,,
10.3389/fmicb.2022.881442,non-mycorrhized; inoculated; TSP; phosphate mine; inoculum NM; these stresses; triple superphosphate; AMF; salt stress; glomus gigaspora acaulospora; the native inoculum NM flowed; Glomus sp2; the inoculation; fertilizer; RP; mycorrhizal fungi; phosphorus fertilization; drought; inoculum,arbuscular mycorrhizal fungi (AMF); gigaspora; Glomus,growth resistance; yield; growth; growth plant biomass; plant growth; improvement growth the parameters,agricultural soil,,agricultural,acaulospora; wheat,,
10.1016/j.jhazmat.2022.129077,AMF The; Cd; AMF; inoculation; rhizosphere microorganisms; Cadmium,arbuscular mycorrhizal fungi (AMF),root biomass,,pot experiment,Cadmium Cd pollution; agricultural; biological toxicity; contaminated; heavy metal; sensitive crops,alfalfa; alfalfa plants; croplands,,
10.3390/microorganisms10051042,salt stress; single; dual inoculation; AM fungal; longibrachiatum T. MF; all; non-saline; NaCl; salinity levels; non-inoculated,Trichoderma longibrachiatum fungi mycorrhizal; arbuscular mycorrhizal (AM); filamentous fungi; Glomus; Trichoderma; Trichoderma longibrachiatum; longibrachiatum,maize plant biomass; the biomass < ratio,salt-affected soils; saline soil,,crop,non-inoculated maize L.; T. longibrachiatum; maize; dual-inoculated maize; Zea,,
10.3389/fpls.2022.880181,AM fungi; phosphate Pi; DEGs these; AMF CK; arginine; N sulfur; AMF AMI; PHO84; AMF; the control without AM fungi,indigenous microorganisms; indigenous microorganisms restrained; Arbuscular mycorrhizal (AM); indigenous microorganisms (AMI),acquisition biomass; plant biomass; plant growth,nutrient-deficient karst,,,Bidens tripartita,,
10.1007/s11356-022-19838-z,inoculated; the AM fungus; AM fungus; non-mycorrhizal treatments; AM fungal; the microbiome; Inoculation fixation; SOC; inoculation; AM fungi,Funneliformis mosseae,host plant growth; microbial biomass; growth maize; plant growth,,,coal mining,maize,,China
10.1080/15226514.2022.2071832,PAHs-contaminated soils; other treatments; microbial-phytoremediation GVPS; GVPS treatment; PYR; fluorescens Inoculation; PAHs; the GVPS treatment; all treatments; GVPS; PS,fluorescens P.; Pseudomonas %; bacterial; Pseudomonas fluorescens Ps2 6; Pseudomonas fluorescens; % Fusarium treated; Glomus versiforme; versiforme G.; Sphingomonas; fungi remediation,biomass highest; the biomass accumulation,contaminated soil,pot experiment,,tall fescue,,
10.1371/journal.pone.0266526,inoculated AM fungi; AM; The AMI treatment; AMF treatment; soil microbial; different treatments; AMF; AMI treatment; control soil without AM fungi; AM fungi,indigenous microorganisms; indigenous microorganisms soil (AMI); Arbuscular mycorrhizal (AM),plant responses; plant growth; plant biomass; growth nutrition regulated; biomass accumulation,,,succession,Bidens tripartita; karst; pioneer plants; Bidens pilosa; Arthraxon hispidus; Gramineae; Setaria; viridis,,
10.3390/life12040497,the AM fungus; AM fungal; three; AM fungi; malaria treatment,arbuscular mycorrhizal (AM); mosseae; Funneliformis,Plant growth; plant biomass; root growth,P different phosphatic,,,Artemisia annua; annua,,
10.1002/ps.6923,S sulfur manganese; Mycorrhizal inoculation; Seed treatment; Chemical Industry; inoculant with metalaxyl + fludioxonil + tiabendazole; pyraclostrobin + methylthiophanate + fipronil; Chemical seed treatment; pyraclostrobin + thiophanate methyl + fipronil; the treatments metalaxyl + fludioxonil + tiabendazole; seed treatment; inoculation; treatments metalaxyl + fludioxonil + tiabendazole fipronil; tiabendazole; mycorrhizal inoculation,Arbuscular mycorrhizal fungi (AMF); Rhizoglomus intraradices,contents biomass aboveground sulfur; plant biomass; root biomass,,,crop the bean; crops; agriculture,bean; bean plants; Phaseolus vulgaris; beans,,
10.1186/s12870-022-03514-y,AM fungi; soil without inoculation; AM root; AM; homogeneous nutrient; AM colonisation; without AM fungi,Arbuscular mycorrhizal (AM),root biomass,,,,odoratissima A.; Benth cajan; shrubland; Albizia odoratissima; shrubland ecosystems; Cajanus cajan,,
10.3390/plants11070861,FR light; low R; parasitoids; R FR; mycorrhizal non-mycorrhizal; water nutrients; AMF; mycorrhizal inoculation,the parasitoid Cotesia marginiventris; the shade avoidance syndrome SAS; arbuscular mycorrhizal fungus; Cotesia marginiventris,biomass; growth; plant growth,,,,Solanum lycopersicum tomato chalcites; lycopersicum tomato; Solanum lycopersicum,,
