"","study_id","TREATMENT"
"1729","10.3389/fpls.2021.740524"," amf"
"1730","10.3389/fpls.2021.740524"," mycorrhizal fungi"
"1731","10.3389/fpls.2021.740524"," drought"
"1732","10.3389/fpls.2021.740524"," soil drought"
"1733","10.3389/fpls.2021.740524"," (-)-camphor capsanthin β-caryophyllene limonin phytol roseoside sweroside α-terpineol"
"1734","10.3389/fpls.2021.740524"," inoculation"
"1735","10.3389/fpls.2021.740524"," soil water"
"1736","10.3389/fpls.2021.740524"," normal water"
"1737","10.3389/fpls.2021.740524"," mycorrhizal inoculation"
"1738","10.1016/j.sjbs.2021.08.016","amf"
"1739","10.1016/j.sjbs.2021.08.016"," treatment alone"
"1740","10.1016/j.sjbs.2021.08.016"," amf treatment"
"1741","10.1016/j.sjbs.2021.08.016"," amf alone"
"1742","10.1016/j.sjbs.2021.08.016"," drought"
"1743","10.1016/j.sjbs.2021.08.016"," control"
"1744","10.1016/j.sjbs.2021.08.016"," biochar amf"
"1745","10.1016/j.sjbs.2021.08.016"," biochar treatment"
"1746","10.1016/j.sjbs.2021.08.016"," amf treatment alone"
"1747","10.1016/j.sjbs.2021.08.016"," biochar fungi"
"1748","10.1016/j.sjbs.2021.08.016"," combined treatment"
"1749","10.1016/j.sjbs.2021.08.016"," un-inoculated control"
"1750","10.1016/j.sjbs.2021.08.016"," the control"
"1751","10.1016/j.sjbs.2021.08.016"," alone"
"1752","10.1016/j.sjbs.2021.08.016"," biochar amf treatment"
"1753","10.3390/plants10091948","autumn-winter"
"1754","10.3390/plants10091948"," am fungi"
"1755","10.3390/plants10091948"," five"
"1756","10.3390/plants10091948"," uninoculated plants"
"1757","10.3390/plants10091948"," ssu"
"1758","10.3390/plants10091948"," inoculation"
"1759","10.3390/microorganisms9091803","phytate"
"1760","10.3390/microorganisms9091803"," treatments"
"1761","10.3390/microorganisms9091803"," amf"
"1762","10.3390/microorganisms9091803"," three"
"1763","10.3390/microorganisms9091803"," inoculation"
"1764","10.3390/microorganisms9091803"," four"
"1765","10.3390/microorganisms9091803"," non-inoculated"
"1766","10.1038/s41598-021-97674-w","dgge"
"1767","10.1038/s41598-021-97674-w"," am salinity symbiosis"
"1768","10.1038/s41598-021-97674-w"," am salinity"
"1769","10.1038/s41598-021-97674-w"," combined"
"1770","10.1038/s41598-021-97674-w"," salt treatments"
"1771","10.1038/s41598-021-97674-w"," am inoculation"
"1772","10.1038/s41598-021-97674-w"," females"
"1773","10.1038/s41598-021-97674-w"," am inoculation treatment"
"1774","10.1038/s41598-021-97674-w"," inoculation exogenous am inoculation treatment"
"1775","10.1038/s41598-021-97674-w"," salt treatment"
"1776","10.1038/s41598-021-97674-w"," exogenous inoculation am inoculation treatment"
"1777","10.1038/s41598-021-97674-w"," salt stress"
"1778","10.1038/s41598-021-97674-w"," salt exogenous inoculation am inoculation treatment"
"1779","10.1016/j.scitotenv.2021.149904","amf inoculated"
"1780","10.1016/j.scitotenv.2021.149904"," sb"
"1781","10.1016/j.scitotenv.2021.149904"," amf"
"1782","10.1016/j.scitotenv.2021.149904"," sb phytoremediation"
"1783","10.1016/j.scitotenv.2021.149904"," antimony"
"1784","10.1016/j.scitotenv.2021.149904"," when inoculated"
"1785","10.1016/j.scitotenv.2021.149904"," amf the"
"1786","10.1016/j.scitotenv.2021.149904"," amf associated"
"1787","10.3390/molecules26175321","mycorrhizal inoculant"
"1788","10.3390/molecules26175321"," eo displaying"
"1789","10.3390/molecules26175321"," eo the tested one"
"1790","10.3390/molecules26175321"," eo"
"1791","10.3390/molecules26175321"," distilled"
"1792","10.3390/molecules26175321"," eo tested all"
"1793","10.3390/molecules26175321"," mycorrhizal inoculation"
"1794","10.1016/j.jhazmat.2021.125894","cd stress"
"1795","10.1016/j.jhazmat.2021.125894"," amf inoculation"
"1796","10.1016/j.jhazmat.2021.125894"," am fungus"
"1797","10.1016/j.jhazmat.2021.125894"," ri inoculation"
"1798","10.1016/j.jhazmat.2021.125894"," control"
"1799","10.1016/j.jhazmat.2021.125894"," cd"
"1800","10.1016/j.jhazmat.2021.125894"," mycorrhizal treatment"
"1801","10.1016/j.jhazmat.2021.125894"," ri"
"1802","10.1016/j.jhazmat.2021.125894"," inoculation"
"1803","10.1016/j.jhazmat.2021.125894"," cd fixation"
"1804","10.1016/j.jhazmat.2021.125894"," cadmium"
"1805","10.1016/j.scitotenv.2021.149843","d9"
"1806","10.1016/j.scitotenv.2021.149843"," amf"
"1807","10.1016/j.scitotenv.2021.149843"," four soil treatments"
"1808","10.1016/j.scitotenv.2021.149843"," dilution treatments"
"1809","10.1016/j.scitotenv.2021.149843"," soil bacteria"
"1810","10.1016/j.scitotenv.2021.149843"," microbiome present bacterial"
"1811","10.1007/s00572-021-01048-z","four ectomycorrhizal"
"1812","10.1007/s00572-021-01048-z"," sodium"
"1813","10.1007/s00572-021-01048-z"," non-colonized"
"1814","10.1007/s00572-021-01048-z"," four fungi"
"1815","10.1007/s00572-021-01048-z"," colonized"
"1816","10.1007/s00248-021-01841-5","amf"
"1817","10.1007/s00248-021-01841-5"," without inoculation"
"1818","10.1007/s00248-021-01841-5"," amf microbes"
"1819","10.1007/s00248-021-01841-5"," native invasive"
"1820","10.1007/s00248-021-01841-5"," acids inoculation species"
"1821","10.1007/s00248-021-01841-5"," amf decurrens"
"1822","10.1007/s00248-021-01841-5"," invasive"
"1823","10.1007/s00248-021-01841-5"," ammonium"
"1824","10.1007/s00248-021-01841-5"," amf canadensis"
"1825","10.1016/j.jenvman.2021.113516","compound treatment"
"1826","10.1016/j.jenvman.2021.113516"," amf treatment"
"1827","10.1016/j.jenvman.2021.113516"," single intercropping"
"1828","10.1016/j.jenvman.2021.113516"," combined application"
"1829","10.1016/j.jenvman.2021.113516"," cd"
"1830","10.1016/j.jenvman.2021.113516"," gv inoculation"
"1831","10.1016/j.jenvman.2021.113516"," combined treatment"
"1832","10.1016/j.jtbi.2021.110859","co-inoculation"
"1833","10.1016/j.jtbi.2021.110859"," low carbon sink"
"1834","10.1016/j.jtbi.2021.110859"," carbon sink"
"1835","10.1016/j.jtbi.2021.110859"," as"
"1836","10.1016/j.jtbi.2021.110859"," high carbon sink"
"1837","10.1016/j.jtbi.2021.110859"," am fungi"
"1838","10.1016/j.jtbi.2021.110859"," fungi co-inoculation"
"1839","10.1016/j.jtbi.2021.110859"," combining"
"1840","10.1038/s41598-021-94092-w","a soil inoculated inoculated"
"1841","10.1038/s41598-021-94092-w"," amf"
"1842","10.1038/s41598-021-94092-w"," amf the"
"1843","10.1038/s41598-021-94092-w"," uninoculated controls"
"1844","10.1038/s41598-021-94092-w"," the amf"
"1845","10.3389/fpls.2021.693044","alone vs. intercropped"
"1846","10.3389/fpls.2021.693044"," intercropped inoculated poplar-alfalfa"
"1847","10.3389/fpls.2021.693044"," soils colonized colonized"
"1848","10.3389/fpls.2021.693044"," mycorrhizal treatment"
"1849","10.3389/fpls.2021.693044"," inoculation"
"1850","10.3389/fpls.2021.693044"," alone intercropped"
"1851","10.1007/s11356-021-15326-y","combined"
"1852","10.1007/s11356-021-15326-y"," amf-plant"
"1853","10.1007/s11356-021-15326-y"," alone"
"1854","10.1007/s11356-021-15326-y"," combination"
"1855","10.1007/s11356-021-15326-y"," combined treatments"
"1856","10.1007/s11356-021-15326-y"," ca chelator"
"1857","10.1007/s11356-021-15326-y"," in combination"
"1858","10.1007/s11356-021-15326-y"," amf inoculation combination"
"1859","10.1007/s11356-021-15326-y"," ca-treated soil"
"1860","10.1007/s11356-021-15326-y"," acid ca chelator"
"1861","10.1007/s11356-021-15326-y"," ca 0 kg levels"
"1862","10.1007/s00128-021-03329-x","different amounts >"
"1863","10.1007/s00128-021-03329-x"," fm inoculation"
"1864","10.1007/s00128-021-03329-x"," as cas"
"1865","10.1007/s00128-021-03329-x"," as"
"1866","10.1007/s00128-021-03329-x"," cas"
"1867","10.1007/s00128-021-03329-x"," combined fm inoculation"
"1868","10.1007/s00128-021-03329-x"," fm treatment"
"1869","10.1007/s00128-021-03329-x"," as fe"
"1870","10.1007/s00128-021-03329-x"," agricultural arsenic"
"1871","10.1007/s00128-021-03329-x"," arsenic as cas"
"1872","10.1007/s00128-021-03329-x"," medium"
"1873","10.3390/plants10071333","dqi"
"1874","10.3390/plants10071333"," amf1 amf2 amf3"
"1875","10.3390/plants10071333"," amf1 amf2 respectively"
"1876","10.3390/plants10071333"," the amf"
"1877","10.3390/plants10071333"," the treatment amf3"
"1878","10.3390/plants10071333"," three treatments"
"1879","10.3390/plants10071333"," the treatments"
"1880","10.1007/s11356-021-15045-4","combined"
"1881","10.1007/s11356-021-15045-4"," sb"
"1882","10.1007/s11356-021-15045-4"," ml"
"1883","10.1007/s11356-021-15045-4"," mycorrhizal inoculum"
"1884","10.1007/s11356-021-15045-4"," the coriander eo"
"1885","10.1007/s11356-021-15045-4"," eo"
"1886","10.1007/s11356-021-15045-4"," cd pb"
"1887","10.1007/s11356-021-15045-4"," cd cu"
"1888","10.1007/s11356-021-15045-4"," uncontaminated soil"
"1889","10.1007/s11356-021-15045-4"," ml soil"
"1890","10.1007/s11356-021-15045-4"," metal(loid)s ml"
"1891","10.1007/s11356-021-15045-4"," the eo"
"1892","10.1007/s11356-021-15045-4"," i.e. as"
"1893","10.1007/s11356-021-15045-4"," commercial eo"
"1894","10.1007/s11356-021-15045-4"," cd"
"1895","10.1007/s11356-021-15045-4"," cd cu pb zn"
"1896","10.1002/jsfa.11382","the mi"
"1897","10.1002/jsfa.11382"," the mi control"
"1898","10.1002/jsfa.11382"," mf combined"
"1899","10.1002/jsfa.11382"," das"
"1900","10.1002/jsfa.11382"," treatments low-p"
"1901","10.1002/jsfa.11382"," rock mineral fertiliser"
"1902","10.1002/jsfa.11382"," low-p"
"1903","10.1002/jsfa.11382"," mi control alone combined"
"1904","10.1002/jsfa.11382"," mi combined"
"1905","10.1002/jsfa.11382"," 30 das"
"1906","10.1002/jsfa.11382"," treatments"
"1907","10.1002/jsfa.11382"," the mf mf   treatments"
"1908","10.1002/jsfa.11382"," control treatments"
"1909","10.1002/jsfa.11382"," mi control"
"1910","10.1002/jsfa.11382"," p low-phosphorus"
"1911","10.1002/jsfa.11382"," the treatments low-p"
"1912","10.1002/jsfa.11382"," mi control treatments"
"1913","10.1002/jsfa.11382"," mi + mf"
"1914","10.1002/jsfa.11382"," mi"
"1915","10.1002/jsfa.11382"," mi alone"
"1916","10.1002/jsfa.11382"," chemical industry"
"1917","10.1007/s11356-021-14821-6","plant pb features"
"1918","10.1007/s11356-021-14821-6"," putrescine mm"
"1919","10.1007/s11356-021-14821-6"," combination"
"1920","10.1007/s11356-021-14821-6"," mycorrhiza"
"1921","10.1007/s11356-021-14821-6"," fm combination"
"1922","10.1007/s11356-021-14821-6"," mm putrescine"
"1923","10.1007/s11356-021-14821-6"," fm ri"
"1924","10.1007/s11356-021-14821-6"," pb"
"1925","10.1007/s11356-021-14821-6"," tolerance p colonization combination width malondialdehyde"
"1926","10.1007/s11356-021-14821-6"," soil pb 300"
"1927","10.1007/s11356-021-14821-6"," fm"
"1928","10.1007/s11356-021-14821-6"," fm ri combination"
"1929","10.1007/s11356-021-14821-6"," mycorrhiza non-inoculation mosseae fm intraradices ri"
"1930","10.3390/plants10050950","a control treatment"
"1931","10.3390/plants10050950"," amf communities"
"1932","10.3390/plants10050950"," irrigation"
"1933","10.3390/plants10050950"," amf"
"1934","10.3390/plants10050950"," without biochar"
"1935","10.3390/plants10050950"," a control"
"1936","10.3390/plants10050950"," water"
"1937","10.3390/plants10050950"," biochar production"
"1938","10.3390/plants10050950"," control treatment"
"1939","10.3390/plants10050950"," biochar the produced"
"1940","10.3390/plants10050950"," biochar"
"1941","10.3390/plants10050950"," low-water"
"1942","10.3390/jof7050361","treatments"
"1943","10.3390/jof7050361"," amf"
"1944","10.3390/jof7050361"," eco<"
"1945","10.3390/jof7050361"," am"
"1946","10.3390/jof7050361"," eco<sub>2</sub> future"
"1947","10.3390/jof7050361"," as"
"1948","10.3390/jof7050361"," elevated carbon dioxide"
"1949","10.3390/jof7050361"," eco<sub>2</sub>"
"1950","10.3390/jof7050361"," nodule"
"1951","10.3390/jof7050361"," amf eco<sub>2</sub>"
"1952","10.3390/jof7050361"," drought"
"1953","10.3390/jof7050361"," without am fungus"
"1954","10.3390/jof7050361"," with"
"1955","10.3390/jof7050361"," inoculated"
"1956","10.3390/jof7050361"," ambient co<sub>2</sub>"
"1957","10.1016/j.scitotenv.2021.147944","te-polluted soils"
"1958","10.1016/j.scitotenv.2021.147944"," pb zn"
"1959","10.1016/j.scitotenv.2021.147944"," te-polluted soil unpolluted"
"1960","10.1016/j.scitotenv.2021.147944"," unpolluted"
"1961","10.1016/j.scitotenv.2021.147944"," ppm ppm cd"
"1962","10.1016/j.scitotenv.2021.147944"," eo"
"1963","10.1016/j.scitotenv.2021.147944"," te-polluted soil unpolluted produce"
"1964","10.1016/j.scitotenv.2021.147944"," the eo"
"1965","10.1016/j.scitotenv.2021.147944"," mycorrhizal inoculation"
"1966","10.1016/j.scitotenv.2021.147943","combined"
"1967","10.1016/j.scitotenv.2021.147943"," amendments"
"1968","10.1016/j.scitotenv.2021.147943"," biosolid compost"
"1969","10.1016/j.scitotenv.2021.147943"," mycorrhizal fungi"
"1970","10.1016/j.scitotenv.2021.147943"," sugar beet"
"1971","10.1016/j.scitotenv.2021.147943"," inoculation treatments"
"1972","10.1016/j.scitotenv.2021.147943"," drought"
"1973","10.1016/j.scitotenv.2021.147943"," non-amended"
"1974","10.1016/j.scitotenv.2021.147943"," inoculation"
"1975","10.1016/j.scitotenv.2021.147943"," mycorrhizal inoculation"
"1976","10.13287/j.1001-9332.202105.022","amf inoculation"
"1977","10.13287/j.1001-9332.202105.022"," amf"
"1978","10.13287/j.1001-9332.202105.022"," amf non-inoculation -amf"
"1979","10.13287/j.1001-9332.202105.022"," phosphorus fertilizer"
"1980","10.13287/j.1001-9332.202105.022"," amf treatments non-inoculation"
"1981","10.13287/j.1001-9332.202105.022"," inoculation"
"1982","10.13287/j.1001-9332.202105.022"," treatments inoculation"
"1983","10.13287/j.1001-9332.202105.022"," treatments non-inoculation"
"1984","10.1111/ppl.13454","well-watered control"
"1985","10.1111/ppl.13454"," co-inoculation"
"1986","10.1111/ppl.13454"," the co-inoculation single"
"1987","10.1111/ppl.13454"," irrigation"
"1988","10.1111/ppl.13454"," inoculated plants"
"1989","10.1111/ppl.13454"," amf"
"1990","10.1111/ppl.13454"," the inoculation"
"1991","10.1111/ppl.13454"," as"
"1992","10.1111/ppl.13454"," phenol flavonoid"
"1993","10.1111/ppl.13454"," drought"
"1994","10.1111/ppl.13454"," a well-watered ww control withholding"
"1995","10.1111/ppl.13454"," co-inoculation single"
"1996","10.1111/ppl.13454"," contents phenol flavonoid glutathione-s-transferase"
"1997","10.1111/ppl.13454"," ds"
"1998","10.1016/j.ecoenv.2021.112154","bc"
"1999","10.1016/j.ecoenv.2021.112154"," components pair-wise combinations added"
"2000","10.1016/j.ecoenv.2021.112154"," combined"
"2001","10.1016/j.ecoenv.2021.112154"," amf bc"
"2002","10.1016/j.ecoenv.2021.112154"," bc fertilizer combined"
"2003","10.1016/j.ecoenv.2021.112154"," fertilizer"
"2004","10.1016/j.ecoenv.2021.112154"," amf"
"2005","10.1016/j.ecoenv.2021.112154"," cd transfering"
"2006","10.1016/j.ecoenv.2021.112154"," n fertilizer alone"
"2007","10.1016/j.ecoenv.2021.112154"," amf bc n"
"2008","10.1016/j.ecoenv.2021.112154"," n fertilizer"
"2009","10.1016/j.ecoenv.2021.112154"," cd"
"2010","10.1016/j.ecoenv.2021.112154"," copper cu"
"2011","10.1016/j.ecoenv.2021.112154"," fertilizer alone"
"2012","10.1016/j.ecoenv.2021.112154"," when combined"
"2013","10.1016/j.ecoenv.2021.112154"," biochar bc"
"2014","10.1016/j.ecoenv.2021.112154"," the combinations"
"2015","10.1007/s00572-021-01031-8","presence absence"
"2016","10.1007/s00572-021-01031-8"," the controls"
"2017","10.1007/s00572-021-01031-8"," am"
"2018","10.1007/s00572-021-01031-8"," om"
"2019","10.1007/s00572-021-01031-8"," org treatment"
"2020","10.1007/s00572-021-01031-8"," without"
"2021","10.1007/s00572-021-01031-8"," am inoculation"
"2022","10.1007/s00572-021-01031-8"," control treatments"
"2023","10.1007/s00572-021-01031-8"," n recovery"
"2024","10.1007/s00572-021-01031-8"," the om"
"2025","10.1007/s00572-021-01031-8"," nutritional stresses"
"2026","10.1007/s00572-021-01031-8"," a further treatment"
"2027","10.1007/s00572-021-01031-8"," the presence absence"
"2028","10.1007/s00572-021-01031-8"," am fungi"
"2029","10.1007/s00572-021-01031-8"," multispecies am inoculum"
"2030","10.1007/s00572-021-01031-8"," inoculation"
"2031","10.3389/fmicb.2021.618169","rhizosphere microbial communities"
"2032","10.3389/fmicb.2021.618169"," bacterial fungal"
"2033","10.3389/fmicb.2021.618169"," saprophyte"
"2034","10.1186/s12870-021-02949-z","drought both irrigation"
"2035","10.1186/s12870-021-02949-z"," p5cs p5cr pdh p5cdh"
"2036","10.1186/s12870-021-02949-z"," p5cs p5cr"
"2037","10.1186/s12870-021-02949-z"," amf treatments"
"2038","10.1186/s12870-021-02949-z"," p5cs pdh"
"2039","10.1186/s12870-021-02949-z"," amf japonicum"
"2040","10.1186/s12870-021-02949-z"," same conditions"
"2041","10.1186/s12870-021-02949-z"," amf japonicum treatments"
"2042","10.1186/s12870-021-02949-z"," biofertilizers"
"2043","10.1186/s12870-021-02949-z"," drought well-watered"
"2044","10.1186/s12870-021-02949-z"," drought"
"2045","10.1186/s12870-021-02949-z"," restrained irrigation"
"2046","10.1186/s12870-021-02949-z"," biofertilizers treatments"
"2047","10.1186/s12870-021-02949-z"," gmsps1 gmsusy gmc-inv"
"2048","10.1186/s12870-021-02949-z"," r5"
"2049","10.1186/s12870-021-02949-z"," untreated plants"
"2050","10.1007/s11356-021-13755-3","amf inoculation"
"2051","10.1007/s11356-021-13755-3"," drought severe"
"2052","10.1007/s11356-021-13755-3"," inoculated plants"
"2053","10.1007/s11356-021-13755-3"," amf"
"2054","10.1007/s11356-021-13755-3"," drought"
"2055","10.1007/s11356-021-13755-3"," inoculation"
"2056","10.1007/s11356-021-13755-3"," amf-inoculated amf-non-inoculated maintained"
"2057","10.1007/s11356-021-13755-3"," irrigated"
"2058","10.1007/s11356-021-13755-3"," non-inoculated"
"2059","10.1007/s11356-021-13755-3"," half-strength hoagland"
"2060","10.3389/fpls.2021.614162","amf salinity"
"2061","10.3389/fpls.2021.614162"," amf"
"2062","10.3389/fpls.2021.614162"," females"
"2063","10.3389/fpls.2021.614162"," amf-associated"
"2064","10.3389/fpls.2021.614162"," without"
"2065","10.3389/fpls.2021.614162"," mm nacl"
"2066","10.3389/fpls.2021.614162"," nacl"
"2067","10.3389/fpls.2021.614162"," female"
"2068","10.3389/fpls.2021.614162"," salinity regimes"
"2069","10.3389/fpls.2021.614162"," salinity"
"2070","10.3389/fpls.2021.614162"," saline conditions"
"2071","10.3389/fpls.2021.614162"," mycorrhizal inoculation"
"2072","10.1016/j.ecoenv.2021.112170","combined"
"2073","10.1016/j.ecoenv.2021.112170"," combination"
"2074","10.1016/j.ecoenv.2021.112170"," am fungus"
"2075","10.1016/j.ecoenv.2021.112170"," the additional inoculation"
"2076","10.1007/s00572-021-01028-3","previously inoculated culture"
"2077","10.1007/s00572-021-01028-3"," ectomycorrhizal"
"2078","10.1007/s00572-021-01028-3"," non-aseptic"
"2079","10.1007/s00572-021-01028-3"," aseptically inoculated"
"2080","10.1007/s00572-021-01028-3"," inoculated previously"
"2081","10.1007/s00572-021-01028-3"," colonized"
"2082","10.1007/s00572-021-01028-3"," 250-ml culture"
"2083","10.1007/s00572-021-01028-3"," spore inoculation"
"2084","10.1007/s00572-021-01028-3"," inoculated"
"2085","10.13227/j.hjkx.202008154","bc"
"2086","10.13227/j.hjkx.202008154"," other microorganisms"
"2087","10.13227/j.hjkx.202008154"," the bc_ri"
"2088","10.13227/j.hjkx.202008154"," the amendment treatments different"
"2089","10.13227/j.hjkx.202008154"," ri bc"
"2090","10.13227/j.hjkx.202008154"," ri"
"2091","10.13227/j.hjkx.202008154"," combined"
"2092","10.13227/j.hjkx.202008154"," the sem"
"2093","10.13227/j.hjkx.202008154"," biochar"
"2094","10.13227/j.hjkx.202008154"," biochar am fungi"
"2095","10.13227/j.hjkx.202008154"," the bc"
"2096","10.13227/j.hjkx.202008154"," tn tk"
"2097","10.13227/j.hjkx.202008154"," combined amendment"
"2098","10.13227/j.hjkx.202008154"," ri bc_ri inoculation"
"2099","10.13227/j.hjkx.202008154"," soil nutrient"
"2100","10.13227/j.hjkx.202008154"," no amendment"
"2101","10.13227/j.hjkx.202008154"," biochar amendments"
"2102","10.13227/j.hjkx.202008154"," amendment treatments"
"2103","10.13227/j.hjkx.202008154"," am fungi"
"2104","10.13227/j.hjkx.202008154"," single biochar"
"2105","10.13227/j.hjkx.202008154"," the ri bc"
"2106","10.13227/j.hjkx.202008154"," single am"
"2107","10.13227/j.hjkx.202008154"," bc_ri"
"2108","10.13227/j.hjkx.202008154"," tn tp"
"2109","10.13227/j.hjkx.202008154"," amendment"
"2110","10.13227/j.hjkx.202008154"," fungi-assisted amendment"
"2111","10.13227/j.hjkx.202008154"," fungi bc_ri biochar plus"
"2112","10.13227/j.hjkx.202008154"," tk"
"2113","10.13227/j.hjkx.202008154"," the inoculation"
"2114","10.13227/j.hjkx.202008154"," treatment each"
"2115","10.13227/j.hjkx.202008154"," tn tp tk"
"2116","10.13227/j.hjkx.202008154"," the treatments various"
"2117","10.13227/j.hjkx.202008154"," combined am fungi"
"2118","10.13227/j.hjkx.202008154"," am fungi bc_ri biochar plus"
"2119","10.13227/j.hjkx.202008154"," the ri"
"2120","10.13227/j.hjkx.202008154"," ri bc_ri"
"2121","10.13227/j.hjkx.202008154"," a amendment amendment control"
"2122","10.13227/j.hjkx.202008154"," the ri bc_ri"
"2123","10.13227/j.hjkx.202008154"," four treatments"
"2124","10.1038/s41598-021-85497-8","ectomycorrhizal"
"2125","10.1038/s41598-021-85497-8"," earthworm"
"2126","10.1038/s41598-021-85497-8"," without earthworms"
"2127","10.1038/s41598-021-85497-8"," inoculation"
"2128","10.1038/s41598-021-85497-8"," spore inoculation"
"2129","10.1038/s41598-021-85497-8"," inoculation substrate"
"2130","10.1038/s41598-021-85497-8"," inoculated"
"2131","10.1038/s41598-021-85497-8"," earthworms"
"2132","10.1016/j.ecoenv.2021.112072","amf inoculation"
"2133","10.1016/j.ecoenv.2021.112072"," combined"
"2134","10.1016/j.ecoenv.2021.112072"," amf viride"
"2135","10.1016/j.ecoenv.2021.112072"," amf viride t. dual inoculation"
"2136","10.1016/j.ecoenv.2021.112072"," amf viride combined"
"2137","10.1002/jeq2.20212","initially inoculated maintained"
"2138","10.1002/jeq2.20212"," control"
"2139","10.1002/jeq2.20212"," biofertilizers"
"2140","10.1002/jeq2.20212"," inoculated plants inoculated"
"2141","10.1002/jeq2.20212"," am strains"
"2142","10.1002/jeq2.20212"," am-colonized"
"2143","10.3389/fpls.2021.617892","tenebrosum treatment"
"2144","10.3389/fpls.2021.617892"," the other treatments"
"2145","10.3389/fpls.2021.617892"," amf"
"2146","10.3389/fpls.2021.617892"," amfs"
"2147","10.3389/fpls.2021.617892"," other treatment"
"2148","10.3389/fpls.2021.617892"," inoculation geosporum"
"2149","10.3389/fpls.2021.617892"," gl"
"2150","10.3389/fpls.2021.617892"," amf inoculation native"
"2151","10.3389/fpls.2021.617892"," inoculation"
"2152","10.3389/fpls.2021.617892"," inoculation effects"
"2153","10.1007/s00248-021-01710-1","amf"
"2154","10.1007/s00248-021-01710-1"," no treatment"
"2155","10.1007/s00248-021-01710-1"," control"
"2156","10.1007/s00248-021-01710-1"," soil microorganisms"
"2157","10.1007/s00248-021-01710-1"," genotype"
"2158","10.1007/s00248-021-01710-1"," the microbiome relationships"
"2159","10.1007/s00248-021-01710-1"," the increase control"
"2160","10.1007/s00248-021-01710-1"," the control"
"2161","10.1007/s00248-021-01710-1"," qq87"
"2162","10.1007/s00128-021-03113-x","amfs the"
"2163","10.1007/s00128-021-03113-x"," amfs"
"2164","10.1007/s00128-021-03113-x"," zn-contaminated"
"2165","10.1007/s00128-021-03113-x"," amf neither"
"2166","10.1007/s00128-021-03113-x"," amf intraradices"
"2167","10.1016/j.ecoenv.2021.111996","la500 treatment"
"2168","10.1016/j.ecoenv.2021.111996"," amf"
"2169","10.1016/j.ecoenv.2021.111996"," la10 treatment"
"2170","10.1016/j.ecoenv.2021.111996"," la. amf"
"2171","10.1016/j.ecoenv.2021.111996"," la stress"
"2172","10.1016/j.ecoenv.2021.111996"," fungi penicillium"
"2173","10.1016/j.ecoenv.2021.111996"," amf la500"
"2174","10.1016/j.ecoenv.2021.111996"," la0 treatment"
"2175","10.1016/j.ecoenv.2021.111996"," amf etunicatum"
"2176","10.1016/j.ecoenv.2021.111996"," rhizosphere microbiome"
"2177","10.1016/j.envpol.2021.116499","inoculated soil"
"2178","10.1016/j.envpol.2021.116499"," depurated"
"2179","10.1016/j.envpol.2021.116499"," bio-fertilization"
"2180","10.1016/j.envpol.2021.116499"," a cd zn cu"
"2181","10.1016/j.envpol.2021.116499"," cd zn"
"2182","10.1016/j.envpol.2021.116499"," mycorrhizal fungi"
"2183","10.1016/j.envpol.2021.116499"," cd cu"
"2184","10.1016/j.envpol.2021.116499"," whole earthworms bodies"
"2185","10.1016/j.envpol.2021.116499"," with without plants"
"2186","10.1016/j.envpol.2021.116499"," without earthworms"
"2187","10.1016/j.envpol.2021.116499"," soil inoculation"
"2188","10.1016/j.envpol.2021.116499"," earthworms biomass"
"2189","10.1016/j.envpol.2021.116499"," earthworms"
"2190","10.3389/fmicb.2020.586050","cd -"
"2191","10.3389/fmicb.2020.586050"," pb"
"2192","10.3389/fmicb.2020.586050"," inoculated"
"2193","10.3389/fmicb.2020.586050"," plant-growth promoting rhizobacteria"
"2194","10.3389/fmicb.2020.586050"," mycorrhizal inoculation"
"2195","10.1016/j.sjbs.2020.09.053","combined"
"2196","10.1016/j.sjbs.2020.09.053"," combined inoculation"
"2197","10.1016/j.sjbs.2020.09.053"," amf"
"2198","10.1016/j.sjbs.2020.09.053"," chemical fertilizers"
"2199","10.1016/j.sjbs.2020.09.053"," as"
"2200","10.1016/j.sjbs.2020.09.053"," p fertilizer"
"2201","10.1016/j.sjbs.2020.09.053"," psb"
"2202","10.1016/j.sjbs.2020.09.053"," three microbial inoculants"
"2203","10.1016/j.sjbs.2020.09.053"," microbial consortium"
"2204","10.1016/j.sjbs.2020.09.053"," psb plants produced"
"2205","10.1016/j.sjbs.2020.09.053"," conventional"
"2206","10.1016/j.sjbs.2020.09.053"," consortium"
"2207","10.1016/j.sjbs.2020.09.053"," designated psb"
"2208","10.1016/j.sjbs.2020.09.053"," alone"
"2209","10.1016/j.sjbs.2020.09.053"," amf+psb"
"2210","10.1007/s11356-020-12131-x","treatment non-inoculation"
"2211","10.1007/s11356-020-12131-x"," amf"
"2212","10.1007/s11356-020-12131-x"," generally colonized influences"
"2213","10.1007/s11356-020-12131-x"," the treatment non-inoculation"
"2214","10.1007/s11356-020-12131-x"," the compartments inoculation treatment"
"2215","10.3390/plants9121801","fertilizer"
"2216","10.3390/plants9121801"," al water-soluble"
"2217","10.3390/plants9121801"," al"
"2218","10.3390/plants9121801"," pgpr"
"2219","10.3390/plants9121801"," inoculation"
"2220","10.3390/plants9121801"," four"
"2221","10.1111/jam.14951","the best combination"
"2222","10.1111/jam.14951"," pgpb"
"2223","10.1111/jam.14951"," amf"
"2224","10.1111/jam.14951"," amf treatment"
"2225","10.1111/jam.14951"," untreated control"
