DOI,TREATMENT,INOCTYPE,RESPONSE,SOILTYPE,FIELDGREENHOUSE,LANDUSE,ECOTYPE,ECOREGION,LOCATION
,und Ektomykorrhizen Feinwurzeln wird; sehr unterschiedlicher Größe; mycorrhizae arbutoide; Zirbe zwischen einzelnen älteren; auch da auch; Flächen; Weiterentwicklung maßgeblich beteiligt; SSW einem; % wurden EtOH; verwendet; % KOH; KOH; Mycorrhizae Fungi; Wachstumsbedingungen; bestimmten wird Myzels Schema Stichproben aufgenommen; Untersuchung Qualitative; Gegenhang; Hochlagenaufforstungen; und Ektomykorrhizen Feinwurzeln wurden; Kongorot; High Altitude Afforestation; von Vergleichende Gegenüberstellung Methoden zur; Fruchtkörpern; Art wurde; Nadelhölzer; Ab diesem Zeitpunkt; ungünstigen Standort; beziehungsweise nach; Methoden; Schema aufgenommen; Daraus; von Kronenprojektion Einzelbäumen; Mitteilung HENSLER; häufig      sehr; von wurden Für pinea FRATTEGIANI; mit Beständen Kronenschluß; sehr Schäden deutliche; Es; von entfernten Waldbeständen aufgrund Sporeneinträgen ( TRAPPE; Artenspektrum wurden nur; Daten wurden;    ;   ; Haggen der wird die Beziehung; Bestimmung; wodurch sich sogenannte; Ektomykorrhiza der als vor Schutz Austrocknung; PANASONIC VIDEO MONITOR WV CM; und gering Regenerationsfähigkeit Feinwurzeln zur; Klimaparameter wurden kontinuierlich während eines; Ektomykorrhiza fungi; sondern dient; Beschreibung; gesamten Pilz-bestandes eines Vegetationstyps; von zur Erfassung Pilzvorkommen  Großquadrate; auf von wurden Untersuchungen Initiative Herrn HR; festen holzbesiedelnden; Ansiedelung; von sehr parkähnliche Zirbenbestände Aufnahmeflächen Größe; ectomycorrhizae; Dieses Material wurde kühl; vor allem; zu; Methoden Vergleichende; Einwanderung;     ; inoculated;  ; Erhebung; Entfernt liegende; Es wurde daher die; dem bevorzugt Umstand Rechnung; Struktur; Schäden; zu bestimmten Substraten; Andrerseits besteht die Möglichkeit der; Bezirksforstinspektion; Bewirtschaftung nur geringfügig; Tubercle-like mycorrhizae; Pilzgesellschaften; Aufforstung; aus sowie Bereich nicht aufgeforsteten,lato; wurden Röhrlinge lato; Arten; Schlagwörter; Piceetum; welche ihre Fähigkeit; Gemeindegebiet; eine genaue; Untersuchung qualitative Artenlisten; Heterobasidiomycetes; Ascomycetes; bilden Ascomycetes; Zirbe Lärche L. Spirke; der von Zirbe Fichte Lärche Ektomykorrhizen L. Bärentraube; Guaiak; St.; Grasland Pilzbestandes; Suillus; Zirbe; Calluna Vegetationstyps; flavida; m von Zirbe vorwiegend Parzellen Lärche Wälder; Genaue; vor allem bei Zirbe mykorrhizierten; Untersuchung; Aufforstung; MOSER Untersuchung mikroskopische; aufgelichtete; Zirbe Fichte L.; Vergrößerung; der von Zirbe Probeflächen; berücksichtigt; Kleinquadrate Tirol Ampasser Kessel; Bestimmung; ihrer Trägerwurzeln; Zirbe mit; Spathularia,fungal biomass,,durchwurzelten; auf i an nicht; the tree nursery expanded,zweimal;   The high altitude afforestation; von Bodenvegetation; Brilliantkresylblau; afforestation; Anzucht; high afforestation attitude; Veränderung; succession; lagerbergii stark beeinträchtigt,ihre Häufigkeiten geschätzt; Arctostaphylos uva; tree; der der des des Aufforstung Beurteilung Pilzvorkommens Qualität Entwicklungstrends; Pinus pinea; blockigem Gelände; der Versuchsfläche  ; Nährstoffspeicher spielt; Untersuchungszeitraum (; Picea abies; treeless; Verzweigung Pilzmantels; 1963 Entsprechend dem; Christlum Höhenprofile Achenkirch Kalkalpen; Die Aufforstung; sowie des oberhalb Leckschrofens; der Aufforstung beschränkt; ein daß bestimmte Zwergstraucharten Refugium; Waldökosysteme; Vegetationseinheiten; Röhrlinge Blätterpilze; Aufmerksamkeit geschenkt; Auflagenhorizonten geschnitten; Tag fotografiert; Wäldern; Bis Herbst war; oberhalb; ausreichend; Abies amabilis; Zwergstrauchheiden entwickelt; alpigenum; Aufforstungsteil sehr; Pinus uncinata; mit Calluna z. Zirbenbestand; unter Calluna; Larix decidua; Pilzarten; Aufforstung; bearberry; Untersuchungsergebnis nicht; bearberry ursi; Aufforstung Teil beschränkt; das Artenspektrum; Bestimmungsliteratur siehe Literaturverzeichnis; Larix europea; Pflanzendecke; other forests; verändern kann; Erstellung von; oberhalb Leckschrofens; Fruchtkörpern; Pinus cembra,,Lawinenverbauung; von Pilzpopulation Anzuchtgärten; Tirol; u des Ektomykorrhiza-Besatzes; Verwachsung; Lärchenpflanzung; und Datum auch; Saprophyten; Größe
10.1186/s12870-022-03514-y,,,,,,,,,
10.3389/fmicb.2015.00203,,,,,,,,,
,,,,,,,,,
10.3390/su71215799,Inoculated non-inoculated ´; low natural; moderate severe; salinity; Inoculated AMF+; non-inoculated; inoculated; available AMF; inoculation; severe soil salinity; Inoculated non-inoculated; AMF; moderate; soil salinity levels; salinity NaCl; inoculate; fresh water-irrigated controls; AMF+; moderate % severe; salt stress,commercial AMF; AMF inoculation; Glomus,growth; the growth acquisition,,nursery inoculation; nursery,,Solanumlycopersicum; tomato; greenhouses; tomato plants,,
10.3389/fpls.2015.00544,,,,,,,,,
10.3389/fmicb.2019.02634,,,,,,,,,
,,,,,,,,,
10.3389/fpls.2023.1206047,,,,,,,,,
10.3389/fpls.2024.1303750,,,,,,,,,
,,,,,,,,,
10.3389/fmicb.2019.02144,,,,,,,,,
10.3390/molecules24132471,Published,,,,,,,,
10.1007/s00572-018-0819-y,single fungus; AM fungus; mycorrhizal endophytic; double inoculation; the AM fungus; co-inoculation; sp. Co-inoculation; flavonoid; Inoculation; non-polluted substrate,Endophytic fungi; arbuscular mycorrhizal (AM); Mucor; Rhizoglomus intraradices; Arbuscular mycorrhiza; mycorrhiza Trichoderma; endophytic fungi; Trichoderma asperellum,increased biomass yield; biomass yield; plant growth; plant biomass; the fungus increased biomass yield,polluted substrate; non-polluted polluted substrate; polluted sites,,metal-polluted; agricultural; toxic,T. asperellum; wild lettuce; Lactuca serriola,,
10.3389/fpls.2019.00863,,,,,,,,,
10.3390/agronomy4030418,nodule; –60; drought well-watered; drought;    Published Abstract,,biomass yield above-ground; grain yield; shoot biomass,,field; the field; ° ° –60,deep rooting,Glycine; soybean,,
,conventional; N fertilizer; BP; freshmarket; nematodes; low-input; mulch; BP mulch,,biomass; soil temperatures; Yields,,freshmarket field,crops; sustainable agriculture; The cover crops; agricultural,field tomatoes Mill; Secale; cereale; rye L. mulches; crimson clover; villosa; hairy vetch; Lycopersicon esculentum; Vicia; tomato plants; Trifolium; black polyethylene; tomato; incarnatum,,United States
10.3389/fmicb.2016.01030,,,,,,,,,
10.3390/horticulturae4040039,Cr I.; Pb Cr; V B Co Pb Cr I Ni Sr Sn; organic conventional; Se Se polyphenols; Cd; Se; Se pseudo-stem; Al Ca; As Co Fe; Co Cr Fe; As Co; Cr Sn; V Pb; As Co Li; As; Cu; Al; Se Se; Si; Published; Ca V Cr,,yield; yield indicators,,pseudo-stem,conventional; Pseudo-stem dry matter,Allium porrum; greenhouses; A. sativum; Varietal; I.; Leek porrum; leek,,
10.1038/s41598-020-59793-8,,,,,,,,,
10.3389/fpls.2015.00786,,,,,,,,,
10.21608/agro.2017.662.1058,,,,,,,,,
10.1371/journal.pone.0093967,Experiment H Citation ¨nzbergova,Botany; Prague Charles University; arbuscular mycorrhizal fungi,lower aboveground biomass; plant growth; mycorrhizal aboveground biomass,,field; Field Transplant; field five-year; greenhouse,,Raabova; Aster amellus; herb; ¨nzbergova; Pru ˚honice; Czech Karst,,Czech Republic
10.3389/fpls.2018.00607,,,,,,,,,
10.1038/ncomms12881,,,,,,,,,
10.1038/s41598-021-94092-w,,,,,,,,,
10.3390/jof7050361,without AM fungus; with; AMF; nodule; drought; inoculated; AMF treatments; As; other beneﬁcial fungal; elevated carbon dioxide; AMF eCO2 treatments; ambient CO2; AM; AMF production content,mosseae; Funneliformis; Rhizobium; arbuscular mycorrhizal fungi (AMF); leguminosarum,biomass; Plant growth,,,,eCO2; leguminous plants; eCO2 ppm; faba bean; faba Vicia,,
10.3390/microorganisms9091803,treatments; UM6P; non-inoculated; Phytate,the suspension; Mohammed VI Polytechnic University UM6P,,undisturbed soil,greenhouse,,soybean; maple forest,,
10.3390/plants10091948,Five; SSU; AM fungi; uninoculated plants; Inoculation,arbuscular mycorrhizal fungi (AM fungi; Funneliformis mosseae,yields; plant growth; yield; plant biomass; root biomass,,,,tomato; coconut,,
10.3389/fmicb.2017.00971,,,,,,,,,
10.1111/j.1469-8137.2004.01159.x,,,,,,,,,
10.1038/srep20469,,,,,,,,,
,,,,,,,,,
10.1134/S1064229316100124,N treatments; levels; Nitrogen Addition,Sciences,Vegetation Restoration,,,Normal,Chinese Academy; temperate steppe; Xinyu Zhangc; Temperate Steppe; Wetland; chestnut,,Inner Mongolia1; Northeast; Northeast Normal; Inner Mongolia; Changchun; China
10.3390/ijms13044673,"conventional; SFME; extraction solvent free SFME; Published; 1,8-cineole; HD","2,2-diphenyl-1-picrylhydrazyl DPPH•; Sci",% similar yields,,,,myrtle; Myrtus communis,,Algerian
10.3389/fmicb.2017.02516,,,,,,,,,
10.3390/biology12040628,MAPs; AMF; MAPs co-cultured; trufﬂe-oaks growing; ectomycorrhizal; inoculated non-inoculated; the MAPs co-cultured; alone; non-inoculated; when inoculated; trufﬂe-oaks; MAPs inoculated; MAPs AMF-inoculated; MAPs previously inoculated non-inoculated; MAPs All AMF-inoculated; when AMF-inoculated; inoculated AMF,Tuber melanosporum; arbuscular mycorrhizal fungi (AMF); native; trufﬂe-oaks; AMF Tuber melanosporum,growth ’ colonization; root biomass; signiﬁcant growth; growth trufﬂe-oaks,,a shadehouse,a secondary crop; agro-forest,black trufﬂe; lavender thyme; lavender thyme sage; lavender sage; T. melanosporum,,
10.3390/molecules15129252,   December Published Abstract,,,,,cosmetic,,,Portugal
10.1007/s11104-005-7084-5,without fungal; canadensis poplars; Cd; cadmium ectomycorrhiza; cadmium ectomycorrhiza Paxillus involutus phytoremediation canadensis viminalis; cost-eﬃcient treatment; other fungi; the control; controls; control plants; ectomycorrhizal fungi; each combination,Hebeloma crustuliniforme; ectomycorrhizal fungi; Paxillus,growth; Cd yields concentrations,contaminated sites; polluted soil,pot experiment,contaminated; cadmium Abstract Phytoextraction; remediation the; Heavy metal,Populus canadensis; Salix viminalis; P. canadensis; Pisolithus tinctorius; Salix viminalis willows; viminalis S.; viminalis willows poplars; trees; P. involutus,,
10.3389/fpls.2022.947547,,,,,,,,,
10.3389/fmicb.2016.01246,,,,,,,,,
10.1038/s41598-019-39463-0,,,,,,,,,
10.3390/plants12051184,sterile soil; early successional plants; non-native plants; AM fungi; non-native competitor; control; native plants; late successional plants; AM,native AM fungi; arbuscular mycorrhizal (AM); native microbe soil amendments; whole soil collections,seedling biomass; Seedling Establishment,ex-arable soils; ex-arable soil,pots; the pots,ex-arable; US grassland restorations faberi,Native Microbes; Non-Native Grass Liz; grassland; grass faberi; Thomas P.; Setaria faberi; prairie; the non-native grass faberi S.; Amplify Native; Grass Liz Koziol; a non-native grass; KS 66044; nearby tallgrass prairie,,US; USA; Lawrence
10.1080/10942912.2012.700539,,,,,,,,,
10.3389/fpls.2021.614162,,,,,,,,,
10.3390/jof9060684,respectively uninoculated; HM; Water Conservation,Arbuscular Mycorrhizal Fungi; AMF inoculation; Civil Engineering; University Biological Sciences Technology; Glomus mosseae; Glomus mosseae intraradices; Arbuscular mycorrhizal fungi (AMF); Civil Engineering University Chengdu; Engineering Southwest Jiaotong University; Glomus intraradices,growth; the biomass uptake,contaminated soil; tailings,greenhouse pot,HM various contamination sampling; Heavy Metals; Contaminated; heavy metal; Shuikoushan lead/zinc mining,pseudoacacia; Robinia pseudoacacia; Robinia; Chengdu 610031; black locust,,Shuikoushan; Hunan province; University Beijing Beijing Forestry; China inoculation obtained; China
10.3389/fpls.2018.01906,,,,,,,,,
10.3389/fpls.2019.00895,,,,,,,,,
10.16886/IAS.2015.06,Fertilizer; AMF; varying fertilizer rates; inoculation; lyme; in combination; other treatment; fertilization,arbuscular mycorrhizal fungi (AMF); AMF inoculation; artificial inoculation,vegetative regeneration; seedling growth; vegetative growth,,,sandy; re-fertilization,  lyme grass; grass;   grass,,Iceland
,,,,,,,,,
10.1038/s41598-018-24686-4,,,,,,,,,
10.3389/fmicb.2022.881442,,,,,,,,,
10.2134/agronj2011.0311,,,,,,,,,
10.3389/fmicb.2018.00169,,,,,,,,,
10.3389/fpls.2016.00782,,,,,,,,,
,no-till; No-till; equal exceed; moisture; N2O; no-till soils; water; minimum tillage; deep-burrowing earthworms;   Europe tillage Conservation; Southwestern Europe; tillage Conservation; weed control; tillage; minimum reduced tillage,,crop yields; yield,ploughed soils; No-till soils,greenhouse,ploughing; crops spring-sown; No-till; crop; profitable autumn-sown crops; herbicides,western southwestern; Western Europe,,Northern Europe; southwestern Europe; northern regions; Spain 6AgroParisTech; France
10.3390/agriculture8010008,Published Abstract,,,,,agriculture; crop,,,
10.3390/plants9010108,Cadmium; AMF; Cd; Published; HM; Cd OS; Cd Cd OS induced; OS; Cd OS kg−1 bioavailable,arbuscular mycorrhizal fungal (AMF); Rhizophagus intraradices; AMF Rhizophagus intraradices,growth soybean nutrients; plant growth; yields,,,hyperaccumulator crops; heavy metal,Glycine; soybean,,
10.3389/fphys.2012.00182,,,,,,,,,
10.3390/jof1010055,Nitrogen fertilization; a inoculated mixture plorans;   Francesca Scandellari Received; MB; EM; ergosterol length; Ectomycorrhizae EM; inoculated; Published; in-growth mesh; mycorrhiza inoculation; nitrogen fertilization,Academic Editor Scandellari; Suillus placidus; Suillus,  Fungal biomass; soil biomass fungal,,a nursery,  afforestation inoculation,Pinus cembra; high-altitude; S. plorans sibircus; trees;   afforestation Suillus placidus; trees The,,
10.1371/journal.pone.0048669,Colonization; without AM fungal; untreated plants; Cd mg?kg21; AM fungi; Cd overall; cadmium Cd; Cd %; Cd treatment mg?kg21; control plants; membranes; Cd inactive; fungi-inoculated plants; controls; the treatment; significantly colonized; Cd; no AM fungi,arbuscular mycorrhizal (AM); Fungal inoculation; intraradices G.; Glomus intraradices,The biomass,Cd-added soils,,contaminated; heavy metals,alfalfa L.; Medicago sativa; alfalfa,,China
10.1371/journal.pone.0167014,UMR; Mixed inoculation; single mixed inoculations; Crop inoculation; four O.; Se; non-inoculated; irrigated lowland; Mycorrhizal Inoculation; microbes optimal combinations; fertilizer pesticides; PGPB; AGD; inoculation; AMF PGPB; sterile soil; irrigated; AMF; inoculated plants,arbuscular mycorrhizal fungi (AMF),yield higher grain; crop yield; plant growth; yield grain index,,Sahelian; field; screenhouse; Field; field screenhouse,Crop; crop; agricultural,Abdala Gamby; irrigated upland; rice variety; O. glaberrima; Rice; rainfed lowland; upland; rice; Oryza sativa,,Antony; Dakar Air Microbiologie IRD/ISRA/UCAD; France Center; Senegal
10.3390/microorganisms11082012,AM fungi,fungal inoculation; arbuscular mycorrhizal (AM); Native Mycorrhizal Fungi,biomass; response,,,Crop; crop; Organically Farmed; organic farming; organic farm,ﬁve pepper; Soils Liz Koziol; Tomato Solanum lycopersicum; ﬁve tomato varieties; Tomato Pepper annuum Varieties; crop; Capsicum annuum; Old-Growth Grassland Tomato; an Old-Growth Grassland Grassland Beneﬁts Tomato lycopersicum Pepper Station University USA; Solanum lycopersicum,,Lawrence KS USA; Lawrence USA; USA Correspondence; Lawrence KS
10.1016/j.envexpbot.2005.05.011,colonized; AMF; non-colonized controls; NaCl; salt stress,Germany; arbuscular mycorrhizal fungi (AMF),,,,Northern analyses,tomato colonized; tomato,,
,,,,,,,,,
10.1038/s41598-019-45702-1,,,,,,,,,
10.1038/s41598-019-41671-7,,,,,,,,,
,,,,,,,,,
10.1007/s11157-020-09523-3,biochar; ash content; Abstract Biochar; ash; Biochar; carbon ash,,biomass; pyrolysis temperatures; wood biomass; different biomass plant,,,pollution remediation; crop; pollution remediation improvement enrichment sequestration,Patrycja Boguta,,
10.1038/ncomms12881,,,,,,,,,
10.3389/fmicb.2022.1006140,,,,,,,,,
10.3389/fpls.2018.01046,,,,,,,,,
,,,,,,,,,
10.3389/fpls.2017.01951,,,,,,,,,
10.1186/s12870-024-05032-5,,,,,,,,,
10.3390/toxics10100574,AM fungi; inoculation; arsenic As; As; arsenic,Chinese; Arbuscular mycorrhizal (AM),,,,contaminated; The intercropping; agricultural; heavy metal,L. maize; P. vittata; vittata maize grown; Zea mays; Pterisvittata,,
,,,,,,,,,
10.1038/srep04671,,,,,,,,,
10.1007/s11738-011-0814-9,UV-B; WD-stressed; UV-B treatment; WD UV-B; WD stresses; combined application; stresses both; water deﬁcit; WD; UV-B UVB,,,,,,barley,,
,,,,,,,,,
10.1038/s41598-021-94092-w,,,,,,,,,
10.3389/fpls.2018.01142,,,,,,,,,
10.3390/plants9070804,AMF; Se; the biofortiﬁcation; Se I antioxidant; combined inoculation; Se I; untreated control; selenium Se; Se I biofortiﬁcation; soil inoculation; Published Abstract; biofortiﬁcation; joint single,arbuscular mycorrhizal fungi (AMF); AMF inoculation,biomass; plant growth; dry weight; the residual biomass,,,farming; vegetable crops,Cicer arietinum; chickpea,,southern Italy
10.1038/s41598-021-85497-8,,,,,,,,,
10.1007/s00122-010-1501-8,sterile soil; AMF; genotype each grown; non-inoculated; inoculated,cepa AMF Glomus intraradices; arbuscular mycorrhizal fungus (AMF); intraradices G. non-inoculated; Glomus intraradices,,,,,Allium cepa; A. tri-hybrid cepa 9; cepa tri-hybrid,,
10.3389/fpls.2017.00141,,,,,,,,,
10.3389/fpls.2017.00183,,,,,,,,,
10.3389/fpls.2015.01077,,,,,,,,,
10.3389/fpls.2023.1140467,,,,,,,,,
,,,,,,,,,
10.1186/s12870-021-02949-z,drought; Hiba Shaghaleh9 AbdElgawad10 Farooq11; Ahmed; R5,Ismail; Arbuscular mycorrhizal fungi; japonicum japonicum B.; Bradyrhizobium japonicum; Arbuscular Mycorrhizal Fungi (AMF); Bradyrhizobium; Bradyrhizobium japonicum japonicum,yield growth; soybean yield growth,,,,soybean; soybean stressed,,Zaid Ulhassan8
10.1007/s13593-011-0029x,# INRA B.V. Salinity; irrigated; AMF; sodium; saline conditions; salinity; salt sensitiveness; chaperone; INRA Abstract Salinity; Salinity; K+/Na+; salt stress,Arbuscular mycorrhizal fungi; Aroca Abbreviations acid R. ): Simbióticos; Arbuscular mycorrhizal plants; arbuscular mycorrhizal fungi; Arbuscular mycorrhizal fungus BAS Branched-absorbing structure CNGC Cyclic nucleotide-gated channel; arbuscular mycorrhizal fungi negatively; arbuscular mycorrhizal,growth improved performance; plant growth,,,salt-tolerant crops; crop; salinized,Sistemas Simbióticos; Dev; Rosa,,Spain
10.1007/s11270-011-0915-5,Single inoculations; combined; cadmium Cd; Cd Zn; cadmium Cd phytoextraction; inoculated; inoculated plants; Springerlink.com Abstract Single ectomycorrhizal mesophaeum bacterial inoculations; Cd,Hebeloma mesophaeum; bacterial cereus; cereus B.; bacterial; Bacillus cereus; + bacterial Bacillus cereus,biomass; lowest biomass; plant growth,contaminated soil,,,willows; willows Salix viminalis; Salix viminalis; cereus willows the; willows All inoculated; willows viminalis,,
10.1186/s13104-017-3105-8,,,,,,,,,
10.3390/agronomy9060299,Published Abstract limits; the consortium; chilling treatment; processing tomato the genotype; the microorganisms inoculated inoculated; Chilling; a consortium; a genotype modern,mosseae F. h.; mosseae F.; Funneliformis mosseae graminis; arbuscular mycorrhizal fungi; Funneliformis mosseae,tomato growth yield; plant growth; growth yield,,,crop,tomato; P. graminis; processing tomato seedlings,,
10.3389/fmicb.2017.00193,,,,,,,,,
10.1111/tpj.12203,,,,,,,,,
10.1038/s41598-019-50354-2,,,,,,,,,
10.1038/ismej.2010.171,,,,,,,,,
10.1016/j.phpro.2012.05.127,,,,,,,,,
10.3390/plants7040080,Se; B Al; selenium juncea; Se I; biofortiﬁcation foliar season; Cd Sr; sodium selenate; control plants; Published Abstract; biofortiﬁcation,,plant growth,,,crop,Brassica juncea; I. Keywords,,
10.1038/s41598-018-24686-4,,,,,,,,,
10.1080/12298093.2024.2360750,the treatments given; different combination; treatment T3; AMF; T3 entisol; Amendment Anamendment;   treatments; treatment fungi; treatment AMF; soil T1; T3; Entisol; treatments; the treatment T3; combined improve; mycorrhiza inoculation; Forestry Wildlife; mycorrhizal inoculation,Arbuscular Mycorrhizal Fungi; A Central University; arbuscular mycorrhizal fungi (AMF),Influence Growth Biomass; the highest biomass species; biomass; plant growth; the growth biomass; plant growth biomass The; growth biomass; Growth Biomass; growth;   plant growth The; the highest biomass,Entisol soil; normal soil,nursery,,Guru Ghasidas Vishwavidyalaya University; 183–190 Inoculants; Terminalia arjuna; T. arjuna,,Bilaspur
,,,,,,,,,
10.1038/srep08122,,,,,,,,,
,,,,,,,,,
10.3389/fpls.2015.00786,,,,,,,,,
10.3389/fpls.2020.516818,,,,,,,,,
10.3389/fmicb.2017.00971,,,,,,,,,
10.3389/fpls.2016.01901,,,,,,,,,
10.3390/jof9100977,nylon mesh; phosphate solubilizing bacteria; PSB; co-inoculation,etuicatum Bacillus aryabhattai; Claroideogolmus etuicatum; Bacillus aryabhattai; effects namely Claroideogolmus etuicatum aryabhattai; Arbuscular mycorrhizal fungi (AMF),,rootless soil; the hyphosphere soil,a three-compartment microcosm,,Camellia oleifera,,
10.3390/microorganisms11010050,Colonization; AMF; drought abiotic; sterile active; drought; competition,Commercial AMF inoculation; arbuscular mycorrhizal fungi (AMF); arbuscular mycorrhizal fungi; commercial inoculum; commercial AMF inoculum,biomass; plant biomass; growth survival establishment,field soil,field,,sagebrush steppe; Artemisia tridentata; Artemisia plants; Artemisia caput-medusae fungi amelioration; Artemisia arbuscula; Artemisia nova; T. caput; Artemisia spp; genus Artemisia; nova A.; Taeniatherum caput-medusae; tridentata ssp,,North American
10.1007/s13593-011-0029x,# INRA B.V. Salinity; irrigated; AMF; sodium; saline conditions; salinity; salt sensitiveness; chaperone; INRA Abstract Salinity; Salinity; K+/Na+; salt stress,Arbuscular mycorrhizal fungi; Aroca Abbreviations acid R. ): Simbióticos; Arbuscular mycorrhizal plants; arbuscular mycorrhizal fungi; Arbuscular mycorrhizal fungus BAS Branched-absorbing structure CNGC Cyclic nucleotide-gated channel; arbuscular mycorrhizal fungi negatively; arbuscular mycorrhizal,growth improved performance; plant growth,,,salt-tolerant crops; crop; salinized,Sistemas Simbióticos; Dev; Rosa,,Spain
,,,,,,,,,
10.3390/microorganisms10051042,single; the combination; longibrachiatum T. MF; non-saline; non-inoculated; salinity levels; all; NaCl; dual inoculation; salt stress; AM fungal,Trichoderma longibrachiatum; arbuscular mycorrhizal (AM); Glomus; longibrachiatum; arbuscular mycorrhizal fungi; Trichoderma longibrachiatum fungi mycorrhizal; Environmental Sciences; Trichoderma,the biomass ratio; maize plant biomass,saline soil; salt-affected soils,,crop; Tel./Fax Abstract,non-inoculated maize L.; T. longibrachiatum; Zea; dual-inoculated maize; maize,,China; Agricultural University; China Agricultural University Beijing; China University
10.1111/1365-2745.13220,,,,,,,,,
10.3389/fpls.2021.617892,,,,,,,,,
10.3389/fmicb.2018.02525,,,,,,,,,
10.1007/s13201-018-0796-5,,,,,,,,,
10.3390/molecules27061752,non-colonized group; mycorrhizal colonized; four groups; fungi inoculation; control group2; He-Ne laser-irradiation; non-irradiated; control group1,Rhizophagus irregularis; arbuscular mycorrhizal fungi (AMF); Rhizophagus irregularis MUCL,biomass,artiﬁcial soil,climate-controlled chamber,,Pelargonium graveolens; rose-scented geranium; P. graveolens,,
10.1038/srep24902,,,,,,,,,
10.1038/s41598-020-59447-9,,,,,,,,,
10.3389/fpls.2016.01146,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10.1007/s11104-013-1681-5,AMF; PRLC; PRLC greater,arbuscular mycorrhizal fungal (AMF),plant growth; plant biomass,,,,,,
10.1007/s00572-024-01139-7,,,,,,,,,
10.3389/fpls.2018.01655,,,,,,,,,
10.1038/s41598-019-46743-2,,,,,,,,,
10.3389/fmicb.2018.00652,,,,,,,,,
10.3390/plants7030063,combinations bacteria diameter yield; Soil salinity; Published; mycorrhizal fungi; saline non-saline,Glomus mosseae,growth; corn yield L.; mean weight; A algal dried biomass combinations,,mesocosm experiment,,corn; Zea mays; arid,semi-arid lands,
10.3389/fmicb.2022.827293,,,,,,,,,
,,,,,,,,,
10.3389/fmicb.2020.586050,,,,,,,,,
10.3389/fpls.2017.00817,,,,,,,,,
10.1038/s41598-022-17075-5,,,,,,,,,
10.1007/s00572-017-0768-x,single endophyte; plant-endophyte consortia; inoculation,arbuscular mycorrhizal fungi (AMF),biomass,,,a post-mining waste dump; post-mining dump,Verbascum lychnitis,,
,Fertilizers Se Zn; micronutrient deficiency; Se; sodium selenite; alone combined;   whether alone combined;   the single; combined application; Se Zn; Fertilizers; Selenium; sodium selenate; I Se Zn; microelement fertilizers,,,,field,then food crops grown; the crops tested; Corresponding author;   the crops other,canola; winter wheat; maize soybean potato; wheat; g Se ha-1; winter wheat maize; soybean potato canola; winter wheat biofortifying; wheat maize soybean; potato canola cabbage,,
,uninoculated controls; other treatments; TS; both ectomycorrhizal (ECM) ECM; a mixture aurigloba; biosolids combined combined; HB; amendment; low biosolid doses; mycorrhizal inoculum; mycorrhizal inoculation,arbuscular mycorrhizal inoculum (AMF); Acaulospora levis; Glomus; Glomus Scutelaspora Acaulospora; Glomus Acaulospora; arbuscular mycorrhizal,Biomass; plant biomass; growth; plant height; stem weights,tailings tailings; tailings T; biosolid-amended pots,glasshouse; the pots; pots all; pot,mine sulphidic gold; toxic; mine;   long-term remediation; phytostabilisation,a eucalypt cladocalyx; sulphidic; E. cladocalyx; trees; ha-1,,
10.1186/s12898-018-0197-5,,,,,,,,,
10.3390/plants10071333,AMF1 AMF2 AMF3; AMF1 AMF2 respectively; DQI; i.kakabouki@gmail.com; The treatments; three treatments,Rhizophagus irregularis; arbuscular mycorrhiza fungus,weight,,greenhouse,agronomic,cannabis; Cannabis sativa,,
,,,,,,,,,
10.3390/ijms19082160,continuous cropping; soil microorganisms; inoculated mosseae; Published; Continuous cropping,Arbuscular mycorrhizal fungi (AMF); mosseae F.; Funneliformis mosseae,yield; plant biomass,,,quality degradation,soybean,,Heilongjiang Province
10.1007/s00572-012-0453-z,mineral N; ammonium; intraradical; ERM harvested; the FC; ERM,arbuscular mycorrhiza; extraradical mycelium; Arbuscular mycorrhiza; arbuscular mycorrhizal fungus; Glomus intraradices,plant growth,,,,Cowpea; cowpea plants; cowpea,,Elke Gabriel George
10.1111/j.1469-8137.2004.01159.x,,,,,,,,,
10.3390/microorganisms11051144,drought moderate; AMF; control treatment; drought % % moderate; moderate no; AMF native; drought treatment; drought severe; drought no treatment; water stress; drought; soil water; (30%,AMF inoculum; Arbuscular mycorrhizal fungi (AMF); fungal inoculation,plant biomass; microbial biomass,,,,corn; maize,,
10.1038/s41598-021-03132-y,,,,,,,,,
,CAS; registry,,Molecular weight,,,,,,
10.3929/ethz-b-000374879,"water suspension; combined; EK Bünemann2,4; determined combination; Bern; affiliations; water filtrate;   a combination;    KA; Combined; non-phytase; the suspensions; ETH",Germany; University Bern; University Bern Group,,,,Corresponding author,University of,,Switzerland author; Switzerland
10.3390/plants12193426,AMF,Arbuscular mycorrhizal fungi (AMF); College University Correspondence; commercial AMF inoculant,the growth morphology; high yield; root growth,normal soils,,saline; an oil crop; sdauhk@163.com,hypogaea; peanut; Arachis; nmst12@163.com *; Peanut L.; peanut salt-tolerant,,Qingdao Qingdao Agricultural University; China; Agricultural University
