DOI,STUDY,TREATMENT,RESPONSE,CARDINAL,SE,PERCENTAGE,SENTENCE,ISTABLE
10.1007/s00122-010-1501-8,21222096,allium roylei,dry weight,3.45,,,total dry weight g am experiment 2007,99
10.1007/s00122-010-1501-8,21222096,rfhybrid,dry weight,5.63,,,total dry weight g am experiment 2007,99
10.1007/s00122-010-1501-8,21222096,allium cepa,dry weight,4.15,,,total dry weight g r experiment 2007,99
10.1007/s00122-010-1501-8,21222096,allium fistulosum,dry weight,4.73,,,total dry weight g r experiment 2007,99
10.1007/s00122-010-1501-8,21222096,allium roylei,dry weight,2.77,,,total dry weight g r experiment 2007,99
10.1007/s00122-010-1501-8,21222096,rfhybrid,dry weight,4.1,,,total dry weight g r experiment 2007,99
10.1007/s00122-010-1501-8,21222096,allium cepa,dry weight,4.09,,,total dry weight g ap experiment 2007,99
10.1007/s00122-010-1501-8,21222096,allium fistulosum,dry weight,3.85,,,total dry weight g ap experiment 2007,99
10.1007/s00122-010-1501-8,21222096,allium roylei,dry weight,2.06,,,total dry weight g ap experiment 2007,99
10.1007/s00122-010-1501-8,21222096,rfhybrid,dry weight,3.58,,,total dry weight g ap experiment 2007,99
10.1007/s00122-010-1501-8,21222096,mean,dry weight,1.97,,,total dry weight g nm trihybrid genotypes n  83,99
10.1007/s00122-010-1501-8,21222096,minimum,dry weight,0.37,,,total dry weight g nm trihybrid genotypes n  83,99
10.1007/s00122-010-1501-8,21222096,maximum,dry weight,5.34,,,total dry weight g nm trihybrid genotypes n  83,99
10.1007/s00122-010-1501-8,21222096,mean,dry weight,7.71,,,total dry weight g am trihybrid genotypes n  83,99
10.1007/s00122-010-1501-8,21222096,minimum,dry weight,1.18,,,total dry weight g am trihybrid genotypes n  83,99
10.1007/s00122-010-1501-8,21222096,maximum,dry weight,11.44,,,total dry weight g am trihybrid genotypes n  83,99
10.1007/s00122-010-1501-8,21222096,mean,dry weight,5.81,,,total dry weight g r trihybrid genotypes n  83,99
10.1007/s00122-010-1501-8,21222096,minimum,dry weight,0.68,,,total dry weight g r trihybrid genotypes n  83,99
10.1007/s00122-010-1501-8,21222096,maximum,dry weight,8.89,,,total dry weight g r trihybrid genotypes n  83,99
10.1007/s00122-010-1501-8,21222096,mean,dry weight,4.88,,,total dry weight g ap trihybrid genotypes n  83,99
10.1007/s00122-010-1501-8,21222096,minimum,dry weight,1.01,,,total dry weight g ap trihybrid genotypes n  83,99
10.1007/s00122-010-1501-8,21222096,maximum,dry weight,7.83,,,total dry weight g ap trihybrid genotypes n  83,99
10.1007/s00122-010-1501-8,21222096,am leaf dry,poor weight,1.82,,,levels of bulbing poor weight g,99
10.1007/s00122-010-1501-8,21222096,am leaf dry,poor weight,1.38,,,nan medium weight g,99
10.1007/s00122-010-1501-8,21222096,am bulb dry,poor weight,1.65,,,levels of bulbing poor weight g,99
10.1007/s00122-010-1501-8,21222096,weight g,poor weight,,,,levels of bulbing poor weight g,99
10.1007/s00122-010-1501-8,21222096,nr of leaves,poor weight,7.3,,,levels of bulbing poor weight g,99
10.1007/s00122-010-1501-8,21222096,nr of roots,poor weight,24.4,,,levels of bulbing poor weight g,99
10.1007/s00122-010-1501-8,21222096,am bulb dry,poor weight,1.76,,,nan medium weight g,99
10.1007/s00122-010-1501-8,21222096,weight g,weight,,,,nan medium weight g,99
10.1007/s00122-010-1501-8,21222096,nr of leaves,weight,7.2,,,nan medium weight g,99
10.1007/s00122-010-1501-8,21222096,nr of roots,weight,25.6,,,nan medium weight g,99
10.1007/s00122-010-1501-8,21222096,am leaf dry weight g,poor weight,5.38,,,levels of bulbing poor weight g,99
10.1007/s00122-010-1501-8,21222096,am bulb dry weight g,poor weight,2.55,,,levels of bulbing poor weight g,99
10.1007/s00122-010-1501-8,21222096,nr of leaves,poor weight,10.6,,,levels of bulbing poor weight g,99
10.1007/s00122-010-1501-8,21222096,nr of roots,poor weight,38.5,,,levels of bulbing poor weight g,99
10.1007/s00122-010-1501-8,21222096,r g,poor weight,6.0,,,levels of bulbing poor weight g,99
10.1007/s00122-010-1501-8,21222096,ap g,poor weight,49.0,,,levels of bulbing poor weight g,99
10.1007/s00122-010-1501-8,21222096,am leaf dry weight g,poor weight,4.78,,,nan medium weight g,99
10.1007/s00122-010-1501-8,21222096,am bulb dry weight g,weight,3.28,,,nan medium weight g,99
10.1007/s00122-010-1501-8,21222096,nr of leaves,weight,10.0,,,nan medium weight g,99
10.1007/s00122-010-1501-8,21222096,nr of roots,weight,40.4,,,nan medium weight g,99
10.1007/s00122-010-1501-8,21222096,r g,weight,6.2,,,nan medium weight g,99
10.1007/s00122-010-1501-8,21222096,ap g,weight,5.0,,,nan medium weight g,99
10.3390/molecules26175321,34500751,biomass cr,biomass,1.0,0.161,,biomass,99
10.3390/molecules26175321,34500751,crd,biomass,0.245,,,biomass,99
10.3390/molecules26175321,34500751,ph,biomass,0.044,,,biomass,99
10.3390/molecules26175321,34500751,cu,biomass,0.077,,,biomass,99
10.3390/molecules26175321,34500751,cud,biomass,0.221,,,biomass,99
10.3390/molecules26175321,34500751,zn ,biomass,0.084,,,biomass,99
10.3390/molecules26175321,34500751,,biomass,0.145,,,biomass,99
10.3390/molecules26175321,34500751,ni,biomass,0.247,,,biomass,99
10.3390/molecules26175321,34500751,nid,biomass,0.236,,,biomass,99
10.3390/molecules26175321,34500751,biomass,mean square,655.196,,,mean square,99
10.3390/molecules26175321,34500751,cr,mean square,31.094,,,mean square,99
10.3390/molecules26175321,34500751,crb,mean square,1129.973,,,mean square,99
10.3390/molecules26175321,34500751,cr ,mean square,46.368,,,mean square,99
10.3390/molecules26175321,34500751,crd,mean square,17.585,,,mean square,99
10.3390/molecules26175321,34500751,ph,mean square,4.854,,,mean square,99
10.3390/molecules26175321,34500751,cu ,mean square,6.869,,,mean square,99
10.3390/molecules26175321,34500751,,mean square,0.975,,,mean square,99
10.3390/molecules26175321,34500751,zn ,mean square,9.493,,,mean square,99
10.3390/molecules26175321,34500751,,mean square,35.623,,,mean square,99
10.3390/molecules26175321,34500751,ni,mean square,1.852,,,mean square,99
10.3390/molecules26175321,34500751,ni4,mean square,0.008,,,mean square,99
10.3389/fmicb.2015.00203,25852664,,plant height,,,, plant height cm,99
10.3389/fmicb.2015.00203,25852664,,plant height,,,, biomass g fwplant,99
10.3390/plants11010089,35009090,tan po,kg,2.06,,, available p img kg,99
10.3390/plants11010089,35009090,tan p10,kg,5.0,,, available p img kg,99
10.3390/plants11010089,35009090,tan po,kg,73.06,,, total p img kg,99
10.3390/plants11010089,35009090,tan p10,kg,85.09,,, total p img kg,99
10.3390/plants9070804,32604987,greenhouse,dry biomass,6.4,,,lignin mass fraction of dry biomass  farming system rye,99
10.3390/plants9070804,32604987,planting time,dry biomass,,,,lignin mass fraction of dry biomass  farming system rye,99
10.3390/plants9070804,32604987,greenhouse,dry biomass,44.5,,,total cellulose mass fraction of dry biomass  farming system 46.0,99
10.3390/plants9070804,32604987,planting time,dry biomass,,,,total cellulose mass fraction of dry biomass  farming system 46.0,99
10.3390/plants9070804,32604987,greenhouse,dry biomass,,,,crystalline cellulose mass fraction of dry biomass  farming system 2.0,99
10.3390/plants9070804,32604987,planting time,dry biomass,,,,crystalline cellulose mass fraction of dry biomass  farming system 2.0,99
10.3390/plants9070804,32604987,greenhouse,dry biomass,15.1,,,hemicellulose mass fraction of dry biomass  farming system 13.9,99
10.3390/plants9070804,32604987,planting time,dry biomass,,,,hemicellulose mass fraction of dry biomass  farming system 13.9,99
10.3390/plants9070804,32604987,greenhouse,dry biomass,3.4,,,pectin mass fraction of dry biomass  farming system 2.5,99
10.3390/plants9070804,32604987,planting time,dry biomass,,,,pectin mass fraction of dry biomass  farming system 2.5,99
10.3390/plants9070804,32604987,11 october,dry biomass,7.2,,,lignin mass fraction of dry biomass  farming system 7.7,99
10.3390/plants9070804,32604987,25 october,dry biomass,6.1,45.9,,lignin mass fraction of dry biomass  farming system 7.7,99
10.3390/plants9070804,32604987,8 november,dry biomass,4.5,,,lignin mass fraction of dry biomass  farming system 7.7,99
10.3390/plants9070804,32604987,22 november,dry biomass,3.7,,,lignin mass fraction of dry biomass  farming system 7.7,99
10.3390/plants9070804,32604987,11 october,dry biomass,42.7,,,total cellulose mass fraction of dry biomass  farming system 41.1,99
10.3390/plants9070804,32604987,25 october,dry biomass,,,,total cellulose mass fraction of dry biomass  farming system 41.1,99
10.3390/plants9070804,32604987,8 november,dry biomass,47.8,,,total cellulose mass fraction of dry biomass  farming system 41.1,99
10.3390/plants9070804,32604987,22 november,dry biomass,48.7,,,total cellulose mass fraction of dry biomass  farming system 41.1,99
10.3390/plants9070804,32604987,11 october,dry biomass,1.3,,,crystalline cellulose mass fraction of dry biomass  farming system 0.9,99
10.3390/plants9070804,32604987,25 october,dry biomass,2.0,,,crystalline cellulose mass fraction of dry biomass  farming system 0.9,99
10.3390/plants9070804,32604987,8 november,dry biomass,2.8,,,crystalline cellulose mass fraction of dry biomass  farming system 0.9,99
10.3390/plants9070804,32604987,22 november,dry biomass,3.0,,,crystalline cellulose mass fraction of dry biomass  farming system 0.9,99
10.3390/plants9070804,32604987,11 october,dry biomass,14.6,,,hemicellulose mass fraction of dry biomass  farming system 14.9,99
10.3390/plants9070804,32604987,25 october,dry biomass,14.5,,,hemicellulose mass fraction of dry biomass  farming system 14.9,99
10.3390/plants9070804,32604987,8 november,dry biomass,14.3,,,hemicellulose mass fraction of dry biomass  farming system 14.9,99
10.3390/plants9070804,32604987,22 november,dry biomass,,,,hemicellulose mass fraction of dry biomass  farming system 14.9,99
10.3390/plants9070804,32604987,11 october,dry biomass,3.7,,,pectin mass fraction of dry biomass  farming system 4.1,99
10.3390/plants9070804,32604987,25 october,dry biomass,3.2,,,pectin mass fraction of dry biomass  farming system 4.1,99
10.3390/plants9070804,32604987,8 november,dry biomass,2.4,,,pectin mass fraction of dry biomass  farming system 4.1,99
10.3390/plants9070804,32604987,22 november,dry biomass,1.5,,,pectin mass fraction of dry biomass  farming system 4.1,99
10.3390/plants9070804,32604987,open field,dry biomass,0.52,,,phosphorus dry biomass farming system,99
10.3390/plants9070804,32604987,greenhouse,dry biomass,,,,phosphorus dry biomass farming system,99
10.3390/plants9070804,32604987,27.0,dry biomass,0.6,,,phosphorus dry biomass planting time,99
10.3390/plants9070804,32604987,11 october,dry biomass,0.56,,,phosphorus dry biomass september,99
10.3390/plants9070804,32604987,25 october,dry biomass,0.51,,,phosphorus dry biomass september,99
10.3390/plants9070804,32604987,8.0,dry biomass,0.48,,,phosphorus dry biomass september,99
10.3390/plants9070804,32604987,november,dry biomass,,,,phosphorus dry biomass september,99
10.3390/plants9070804,32604987,22 november,dry biomass,0.46,,,phosphorus dry biomass september,99
10.3390/plants9070804,32604987,open field,mass,0.22,,,fuc mass fraction of hemicellulose  farming system,99
10.3390/plants9070804,32604987,greenhouse,mass,0.32,,,fuc mass fraction of hemicellulose  farming system,99
10.3390/plants9070804,32604987,open field,mass,5.7,,,gal a mass fraction of hemicellulose  farming system,99
10.3390/plants9070804,32604987,greenhouse,mass,5.0,,,gal a mass fraction of hemicellulose  farming system,99
10.3390/plants9070804,32604987,open field,mass,44.3,,,glc mass fraction of hemicellulose  farming system,99
10.3390/plants9070804,32604987,greenhouse,mass,44.9,0.0,,glc mass fraction of hemicellulose  farming system,99
10.3390/plants9070804,32604987,open field,glc mass,0.29,,,glc a mass fraction of hemicellulose  farming system,99
10.3390/plants9070804,32604987,greenhouse,glc mass,0.28,,,glc a mass fraction of hemicellulose  farming system,99
10.3390/plants9070804,32604987,27 september,mass,0.32,,,fuc mass fraction of hemicellulose  planting time,99
10.3390/plants9070804,32604987,11 october,mass,0.31,,,fuc mass fraction of hemicellulose  planting time,99
10.3390/plants9070804,32604987,27 september,mass,4.5,,,gal a mass fraction of hemicellulose  planting time,99
10.3390/plants9070804,32604987,11 october,mass,4.8,,,gal a mass fraction of hemicellulose  planting time,99
10.3390/plants9070804,32604987,27 september,mass,45.9,,,glc mass fraction of hemicellulose  planting time,99
10.3390/plants9070804,32604987,11 october,mass,45.3,,,glc mass fraction of hemicellulose  planting time,99
10.3390/plants9070804,32604987,27 september,glc mass,0.29,,,glc a mass fraction of hemicellulose  planting time,99
10.3390/plants9070804,32604987,11 october,glc mass,0.28,,,glc a mass fraction of hemicellulose  planting time,99
10.3390/plants9070804,32604987,8 november,mass,0.23,,,fuc mass fraction of hemicellulose  0.27,99
10.3390/plants9070804,32604987,22 november,mass,0.21,,,fuc mass fraction of hemicellulose  0.27,99
10.3390/plants9070804,32604987,8 november,mass,5.7,,,gal a mass fraction of hemicellulose  5.2,99
10.3390/plants9070804,32604987,22 november,mass,6.4,,,gal a mass fraction of hemicellulose  5.2,99
10.3390/plants9070804,32604987,8 november,mass,44.0,,,glc mass fraction of hemicellulose  44.5,99
10.3390/plants9070804,32604987,22 november,mass,43.2,,,glc mass fraction of hemicellulose  44.5,99
10.3390/plants9070804,32604987,8 november,glc mass,0.28,,,glc a mass fraction of hemicellulose  0.28,99
10.3390/plants9070804,32604987,22 november,glc mass,0.28,,,glc a mass fraction of hemicellulose  0.28,99
10.3390/plants9070804,32604987,pretreatment type,dry biomass,,,, from dry biomass g,99
10.3390/plants9070804,32604987,water,dry biomass,,,, from dry biomass g,99
10.3390/plants9070804,32604987,acid,dry biomass,,,, from dry biomass g,99
10.3390/plants9070804,32604987,alkaline,dry biomass,,,, from dry biomass g,99
10.3390/plants9070804,32604987,planting time,dry biomass,,,, from dry biomass g,99
10.3390/plants9070804,32604987,27.0,dry biomass,,,, from dry biomass g,99
10.3390/plants9070804,32604987,11 october,dry biomass,,,, from dry biomass g,99
10.3390/plants9070804,32604987,25 october,dry biomass,,,, from dry biomass g,99
10.3390/plants9070804,32604987,8 november,dry biomass,,,, from dry biomass g,99
10.3390/plants9070804,32604987,22 november,dry biomass,,,, from dry biomass g,99
10.3390/microorganisms8040602,32326329,,marmoricola,,,, rhodococcus marmoricola unclassified nocardioidaceae,99
10.3390/microorganisms8040602,32326329,66.0,marmoricola,,,, rhodococcus marmoricola unclassified nocardioidaceae,99
10.3390/microorganisms8040602,32326329,67.0,marmoricola,,,, rhodococcus marmoricola unclassified nocardioidaceae,99
10.3390/microorganisms8040602,32326329,72.0,marmoricola,,,, rhodococcus marmoricola unclassified nocardioidaceae,99
10.3390/microorganisms8040602,32326329,73.0,marmoricola,,,, rhodococcus marmoricola unclassified nocardioidaceae,99
10.3390/microorganisms8040602,32326329,159.0,marmoricola,,,, rhodococcus marmoricola unclassified nocardioidaceae,99
10.3390/microorganisms8040602,32326329,163.0,marmoricola,,,, rhodococcus marmoricola unclassified nocardioidaceae,99
10.3390/microorganisms8040602,32326329,167.0,marmoricola,,,, rhodococcus marmoricola unclassified nocardioidaceae,99
10.3390/microorganisms8040602,32326329,187.0,marmoricola,,,, rhodococcus marmoricola unclassified nocardioidaceae,99
10.3390/microorganisms8040602,32326329,192.0,marmoricola,,,, rhodococcus marmoricola unclassified nocardioidaceae,99
10.3390/microorganisms8040602,32326329,196197.0,marmoricola,,,, rhodococcus marmoricola unclassified nocardioidaceae,99
10.3390/microorganisms8040602,32326329,197.0,marmoricola,,,, rhodococcus marmoricola unclassified nocardioidaceae,99
10.3390/microorganisms8040602,32326329,198.0,marmoricola,,,, rhodococcus marmoricola unclassified nocardioidaceae,99
