"","DOI","TREATMENT","INOCTYPE","RESPONSE","SOILTYPE","FIELDGREENHOUSE","LANDUSE","ECOTYPE","ECOREGION","LOCATION","journal"
"60","10.3389/fpls.2022.880181","combining; DEGs these; the control without AM fungi; AMF; N sulfur; indigenous microorganisms; PHO84; AMF CK; arginine; AM fungi; AMF AMI; phosphate Pi","Arbuscular mycorrhizal (AM); indigenous microorganisms (AMI); indigenous microorganisms; indigenous microorganisms restrained","plant biomass; plant growth; acquisition biomass","nutrient-deficient karst",NA,NA,"Bidens tripartita; karst region",NA,NA,"Frontiers in Plant Science"
"61","10.1080/15226514.2022.2071832","the GVPS treatment; PYR; GVPS; combined; microbial-phytoremediation GVPS; all treatments; PAHs-contaminated soils; GVPS treatment; fungi remediation; fluorescens Inoculation; other treatments; PS; PAHs","Glomus versiforme; versiforme G.; fluorescens P.; Pseudomonas %; Proteobacteria Ascomycota; bacterial; % Fusarium treated; Pseudomonas fluorescens; Sphingomonas; Pseudomonas fluorescens Ps2 6","biomass highest; the biomass accumulation","contaminated soil","pot experiment",NA,"tall fescue",NA,NA,"International Journal of Phytoremediation"
"62","10.1371/journal.pone.0266526","different treatments; inoculated AM fungi; AMF; control soil without AM fungi; AMF treatment; AM; The AMI treatment; soil microbial; AM fungi; AMI treatment","Arbuscular mycorrhizal (AM); indigenous microorganisms; indigenous microorganisms soil (AMI)","plant biomass; biomass accumulation; plant responses; plant growth; growth nutrition regulated",NA,NA,"succession","Setaria; Bidens tripartita; Bidens pilosa; pioneer plants; karst habitat; Arthraxon hispidus; viridis; Gramineae; karst",NA,NA,"PLOS ONE"
"63","10.3390/life12040497","AM fungal; malaria treatment; the AM fungus; three; AM fungi","Funneliformis; mosseae; arbuscular mycorrhizal (AM)","plant biomass; Plant growth; root growth","P different phosphatic",NA,NA,"Artemisia annua; annua",NA,NA,"Life"
"64","10.1186/s12870-022-03514-y","homogeneous nutrient; without AM fungi; AM root; AM; AM colonisation; soil without inoculation; AM fungi","Arbuscular mycorrhizal (AM)","root biomass",NA,NA,NA,"shrubland ecosystems; Cajanus cajan; Benth cajan; Albizia odoratissima; odoratissima A.",NA,NA,"BMC Plant Biology"
"65","10.3390/plants11070861","FR light; R FR; low R; AMF; water nutrients; mycorrhizal non-mycorrhizal; parasitoids; mycorrhizal inoculation","Cotesia marginiventris; the shade avoidance syndrome SAS; the parasitoid Cotesia marginiventris; arbuscular mycorrhizal fungus","biomass; plant growth; growth",NA,NA,NA,"lycopersicum tomato; Solanum lycopersicum; Solanum lycopersicum tomato chalcites",NA,NA,"Plants"
"66","10.3389/fmicb.2022.814323","AMF inoculation; Sb more entering; Eh; Sb; AMF; Sb stress; non-inoculation; inoculation; antimony Sb","AMF inoculation; Arbuscular mycorrhizal fungi (AMF)","aboveground biomass; biomass underground; biomass grain",NA,"the greenhouse; pot",NA,"rice; the rice",NA,NA,"Frontiers in Microbiology"
"67","10.7717/peerj.13080","AMF inoculation; AMF PGPR inoculated; inoculation treatments; AMF PGPR; PGPR; single dual; inoculated; single inoculations; PGPR inoculation","plant growth-promoting rhizobacteria; arbuscular mycorrhizal fungi (AMF)","belowground biomass; plant growth; height; vegetation biomass",NA,NA,NA,"Elymus nutans Griseb; Elymus nutans nutans Griseb with",NA,NA,"PeerJ"
"68","10.3390/molecules27061752","mycorrhizal colonized; control group1; control group2; co-treatment; He-Ne laser-irradiation; AMF co-treatment; non-colonized group; four groups; non-irradiated; fungi inoculation","Rhizophagus irregularis; Rhizophagus irregularis MUCL; arbuscular mycorrhizal fungi (AMF)","biomass; yield",NA,"climate-controlled chamber",NA,"P. graveolens; Pelargonium graveolens; rose-scented geranium",NA,NA,"Molecules"
"69","10.1111/plb.13402","AMnat; AMnat drought; treatments; AM; severe water; AM-dependent; intermediate water; the inoculum; AM fungi; Inoculation; AM inocula","AMnat inoculum; arbuscular mycorrhizal (AM)","plant responses; leaf biomass; plant growth","invaded soils; native soils",NA,NA,"Plantago lanceolata; P. lanceolata; Acacia dealbata; more P. However However",NA,NA,"Plant Biology"
"70","10.1007/s00572-021-01059-w","inoculation control; AM; As; AM inoculation; inoculation non-inoculation control; three; exogenous indigenous; AM fungi; non-inoculation control","indigenous AM fungi; arbuscular mycorrhizal (AM)","biomass; plant growth; growth",NA,NA,NA,"alfalfa plants; Medicago sativa; alfalfa L.",NA,NA,"Mycorrhiza"
"71","10.3390/plants10122716","inoculate; AMF; AMF native; salinity levels; mycorrhizal inoculum; rhizosphere microbial; four saline soils","indigenous mycorrhizal inoculum; AMF inoculum; indigenous inoculum; Arbuscular mycorrhizal fungi (AMF); bacterial; AMF-mixed inoculums","biomasses bacterial; plant biomasses","saline soil; arid soils; saline soils","microcosm","Soil degradation","Tamarix articulata; edaphoclimatic; T. articulata; arid semiarid","semiarid areas",NA,"Plants"
"72","10.1007/s00284-021-02682-8","the co-inoculation treatment; co-inoculation; co-inoculation treatment; co-inoculation AM ZSB2; treatments; AM; Acidobacteria; treatments co-inoculated with AM; co-inoculated treatments; sole; solubilizing bacteria","Proteobacteria Actinobacteria; Chloroflexi;   Pedomicrbium Acinetobacter; Bacillus megaterium; Pedomicrbium Nitrospira;   Candidatus Pedomicrbium Thermoporothrix Acinetobacter Nitrospira; arbuscular mycorrhizal fungi (AM Rhizophagus; Proteobacteria Actinobacteria Acidobacteria;   Bradyrhizobium;   Candidatus Pedomicrbium; ZSB2-   Bacillus megaterium NCBI-KY687496; Pedomicrbium Thermoporothrix","plant height; plant growth; dry biomass",NA,NA,NA,"turmeric; Curcuma longa",NA,NA,"Current Microbiology"
"73","10.1038/s41598-021-03132-y","RF; with without; pathogens; mycorrhiza helper bacterium; SF; the pathogens; other interactors; the EMF; ERG the; alternating; RF SF; ERG","ectomycorrhizal fungus (EMF)","biomass",NA,NA,NA,"temperate tree","many tropical species",NA,"Scientific Reports"
"74","10.1016/j.crmicr.2021.100061","inoculated; growth promoting bacteria","arbuscular mycorrhizal fungi","growth survival; growth; the growth content; biomass tissue","laterite rocks; barren laterite; laterite soils","nursery thereafter","land degradation problems; land degradation posing","tryphysa A.; Ailanthus tryphysa; trees; tryphysa",NA,"India","Current Research in Microbial Sciences"
"75","10.1371/journal.pone.0259959","FC; without AM inoculation; AM fungi; AM; % FC; all water; inoculation treatments; drought; the combination; water deficit-mediated; soil water; with; deficit-mediated","intraradices; Rhizophagus intraradices; arbuscular mycorrhizal (AM)","the growth photosynthesis system; seedling growth; biomass",NA,NA,"ecological restoration","E. maackii-AM; E. maackii; Euonymus maackii","arid regions",NA,"PLOS ONE"
"76","10.1016/j.scitotenv.2021.151803","arsenic; mycorrhizal fungi; arsenic plant-accumulated; arsenic % Most; arsenic nutrient; phosphorus fertilization",NA,"biomass; lower biomass cost","coarse-textured soil; arsenic-contaminated soils; medium-textured soil",NA,NA,"Fern; P. vittata; a soil coarse-; ferns growing; ferns; soil coarse-; Pteris vittata",NA,NA,"Science of The Total Environment"
"77","10.1007/s11356-021-17256-1","fertilizer; AMF; fertilization fertilizer; the fertilizer used; Cd; Fertilizer; fertilization fertilizer inoculation","indica indica formerly Piriformospora; endophytic fungi; Funneliformis indica; Funneliformis mosseae indica indica mycorrhizal fungi; indica Piriformospora; arbuscular mycorrhizal (AMF); mosseae Serendipita; indica S.; mosseae Serendipita indica; fungal inoculation","biomass; biomass yield",NA,"field",NA,"halleri A.; Arabidopsis halleri; halleri",NA,NA,"Environmental Science and Pollution Research"
"78","10.1016/j.scitotenv.2021.151649","AM; the AM fungus; biochar mycorrhizal photosynthesis; As; Pyrolyzed; biochar AM; biochar; biochar amended","Rhizophagus irregularis; arbuscular mycorrhizal (AM); AM fungus Rhizophagus irregularis M+ M-","growth yield; temperatures; Pyrolyzed biomass",NA,"field",NA,"wheat miscanthus; potato; Potato plants",NA,NA,"Science of The Total Environment"
"79","10.3390/plants10091948","autumn-winter; AM fungi; Five; uninoculated plants; SSU; Inoculation","Funneliformis mosseae; arbuscular mycorrhizal fungi (AM fungi","the yields; yields; yield; plant biomass; root biomass; plant growth",NA,NA,NA,"tomato; produced tomatoes; coconut",NA,NA,"Plants"
"80","10.3390/microorganisms9091803","Phytate; treatments; AMF; three; inoculation; four; non-inoculated","etunicatum Funneliformis mosseae taxon; undisturbed soil; Sebacina; Claroideoglomus etunicatum mosseae; microbial suspension; Glomus; Funneliformis mosseae; arbuscular mycorrhizal fungi (AMF); fungal Bacterial; the suspension; Trichoderma; Claroideoglomus etunicatum","dry weight biomass; dry weight weight biomass; plant growth","nutrient-poor substrate","greenhouse","rhizosphere biotopes","maple forest; soybean",NA,NA,"Microorganisms"
"81","10.1038/s41598-021-97674-w","DGGE; AM salinity symbiosis; AM salinity; combined; salt treatments; AM inoculation; females; AM inoculation treatment; inoculation Exogenous AM inoculation treatment; salt treatment; exogenous inoculation AM inoculation treatment; salt stress; Salt stress; salt exogenous inoculation AM inoculation treatment","arbuscular mycorrhizal (AM)","growth limited biomass; biomass; growth; growth biomass accumulation",NA,NA,NA,"Populus cathayana; dioecious plants; P. cathayana",NA,NA,"Scientific Reports"
"82","10.1016/j.jhazmat.2021.125894","Cd stress; AMF Inoculation; AM fungus; RI Inoculation; control; Cd; mycorrhizal treatment; RI; inoculation; Cd fixation; cadmium; Inoculation","AM fungus Rhizophagus intraradices RI; Rhizophagus intraradices; arbuscular mycorrhizal fungi (AMF)","p shoot biomass height; plant height",NA,NA,NA,"rice",NA,NA,"Journal of Hazardous Materials"
"83","10.1007/s00572-021-01048-z","four ectomycorrhizal; sodium; non-colonized; four fungi; colonized","Hebeloma cylindrosporum; Ectomycorrhizal fungi; Laccaria bicolor; ectomycorrhizal fungi; Suillus cothurnatus; Paxillus ammoniavirescens; Laccaria bicolor cothurnatus; bicolor Suillus cothurnatus","biomass nutrient",NA,NA,NA,"P. taeda; Loblolly pine; P.; woody; Pinus taeda; taeda",NA,"Southeastern USA","Mycorrhiza"
"84","10.1007/s00248-021-01841-5","AMF; without inoculation; AMF microbes; native invasive; acids inoculation species; AMF decurrens; invasive; ammonium; AMF canadensis","Arbuscular mycorrhizal fungi (AMF)","plant height; root biomass; biomass; growth",NA,NA,NA,"S. decurrens; Solidago canadensis; native S. decurrens; canadensis S.",NA,NA,"Microbial Ecology"
"85","10.1016/j.jenvman.2021.113516","compound treatment; AMF treatment; single intercropping; combined application; Cd; GV inoculation; combined treatment","AMF-Glomus versiforme GV; arbuscular mycorrhizal fungus (AMF); AMF-Glomus versiforme","the growth accumulation photosynthesis activities; plant growth; the biomasses contents","contaminated soils","greenhouse pot",NA,"upland rice calendulacea; intercropping fungus; upland rice; intercropping IC versiforme; upland rice grains; Sphagneticola calendulacea; calendulacea S.; upland rice phytoremediation; the intercropped plants-upland rice Pruski; rice calendulacea S.",NA,NA,"Journal of Environmental Management"
"86","10.3390/plants10071333","DQI; AMF1 AMF2 AMF3; AMF1 AMF2 respectively; the AMF; the treatment AMF3; three treatments; The treatments","Rhizophagus irregularis; arbuscular mycorrhiza fungus; Rhizophagus irregularis AMF3","dry weight; The biomass; weight",NA,"greenhouse","agronomic","Cannabis sativa; cannabis",NA,NA,"Plants"
"87","10.3390/jof7050361","treatments; AMF; eCO<; AM; eCO<sub>2</sub> Future; As; elevated carbon dioxide; eCO<sub>2</sub>; nodule; AMF eCO<sub>2</sub>; drought; without AM fungus; with; inoculated; ambient CO<sub>2</sub>","mosseae; Rhizobium; arbuscular mycorrhizal fungi (AMF); Funneliformis; leguminosarum","Plant growth; biomass",NA,"the field",NA,"faba bean; faba Vicia; leguminous plants",NA,NA,"Journal of Fungi"
"88","10.1111/ppl.13454","well-watered control; co-inoculation; The co-inoculation single; irrigation; inoculated plants; AMF; the inoculation; As; Co-inoculation; phenol flavonoid; drought; a well-watered WW control withholding; co-inoculation single; contents phenol flavonoid glutathione-S-transferase; DS","Bacillus amyloliquefaciens Fungi; amyloliquefaciens AMF B.; Bacillus amyloliquefaciens; Arbuscular Mycorrhizal Fungi (AMF); amyloliquefaciens B.","plant biomass; biomass yield; yield; biomass yield seed",NA,NA,NA,"soybean",NA,NA,"Physiologia Plantarum"
"89","10.1016/j.ecoenv.2021.112154","BC; components pair-wise combinations added; combined; AMF BC; BC fertilizer combined; fertilizer; AMF; Cd transfering; N fertilizer alone; AMF BC N; N fertilizer; Cd; copper Cu; fertilizer alone; when combined; biochar BC; the combinations","AMF inoculation; Fungal inoculation; arbuscular mycorrhizal fungi (AMF)","L. chicory growth nutrients; root biomass; chicory growth; shoot biomass","Cd-contaminated soil","pot",NA,"Cichorium intybus; chicory",NA,NA,"Ecotoxicology and Environmental Safety"
"90","10.1007/s00572-021-01031-8","presence absence; the controls; AM; OM; Org treatment; without; AM Inoculation; control treatments; N recovery; the OM; nutritional stresses; A further treatment; the presence absence; AM fungi; multispecies AM inoculum; Inoculation","arbuscular mycorrhizal (AM)","N biomass; plant growth","P-limited soil","pots",NA,"durum wheat",NA,NA,"Mycorrhiza"
"91","10.1186/s12870-021-02949-z","drought both irrigation; P5CS P5CR PDH P5CDH; P5CS P5CR; AMF treatments; P5CS PDH; AMF japonicum; same conditions; AMF japonicum treatments; biofertilizers; drought well-watered; drought; restrained irrigation; biofertilizers treatments; GmSPS1 GmSuSy GmC-INV; R5; untreated plants","japonicum B.; japonicum japonicum B.; Bradyrhizobium japonicum; Arbuscular Mycorrhizal Fungi (AMF); Bradyrhizobium japonicum japonicum","plant biomass; yield growth; yield growth soybean; plant growth; growth; yield grain; the yield growth",NA,NA,NA,"soybean; stressed soybean","agro ecosystems",NA,"BMC Plant Biology"
"92","10.3389/fpls.2021.614162","AMF salinity; AMF; females; AMF-associated; without; mM NaCl; NaCl; female; Females; salinity regimes; salinity; saline conditions; mycorrhizal inoculation","Funneliformis; AMF inoculation; mosseae; Arbuscular mycorrhizal fungi (AMF)","biomass; growth the; vegetation remediation; plant growth; biomass allocated; growth the traits",NA,NA,NA,"alba; female mulberry; mulberry; Morus alba",NA,NA,"Frontiers in Plant Science"
"93","10.1007/s00572-021-01028-3","previously inoculated culture; ectomycorrhizal; non-aseptic; aseptically inoculated; inoculated previously; colonized; 250-mL culture; spore inoculation; inoculated","Ectomycorrhizal pine; basidiospore inocula; Tricholoma matsutake; cultured mycelium","ectomycorrhizal significant biomass length",NA,NA,NA,"T. matsutake",NA,NA,"Mycorrhiza"
"94","10.13227/j.hjkx.202008154","BC; other microorganisms; the BC_RI; the amendment treatments different; RI BC; RI; Combined; The SEM; biochar; biochar AM fungi; the BC; TN TK; combined amendment; RI BC_RI inoculation; soil nutrient; no amendment; biochar amendments; amendment treatments; AM fungi; single biochar; the RI BC; single AM; BC_RI; TN TP; amendment; fungi-assisted amendment; combined; fungi BC_RI biochar plus; TK; the inoculation; treatment each; TN TP TK; the treatments various; combined AM fungi; AM fungi BC_RI biochar plus; the RI; RI BC_RI; a amendment amendment control; the RI BC_RI; four treatments","Rhizophagus intraradices; bacterial fungal; arbuscular mycorrhizal (AM)","root biomass; plant growth; biomass nutrient; the biomass shoot element contents","Sandy soils; sandy soils; sandy soil","greenhouse pot","desertification; the ecological restoration","birica; the Nitrariasi",NA,NA,NA
"95","10.1038/s41598-021-85497-8","ectomycorrhizal; earthworm; without earthworms; inoculation; spore inoculation; inoculation substrate; inoculated; earthworms","aestivum; Tuber; truffle; Tuber aestivum","root biomass",NA,"greenhouse",NA,"hazel beech etc; Abies alba; silver fir; truffles; Silver fir; oak hazel beech; oak hazel",NA,NA,"Scientific Reports"
"96","10.3389/fpls.2021.617892","tenebrosum treatment; the other treatments; AMF; AMFs; other treatment; inoculation geosporum; Gl; AMF inoculation native; inoculation; inoculation effects","AMF inoculation; Arbuscular mycorrhiza fungi (AMFs); Funneliformis geosporum; AMFs inoculation; gerdemanii Acaulospora laevis; manihotis Ambispora gerdemanii laevis; geosporum Ac; Septoglomus constrictum geosporum; Septoglomus constrictum; Rhizophagus manihotis; Acaulospora laevis; geosporum Rhizophagus manihotis gerdemanii; Gl laevis; Ambispora gerdemanii; Glomus formosanum; geosporum; Glomus formosanum tenebrosum Ac; tuberculata; formosanum; laevis; native AMFs; constrictum Funneliformis geosporum manihotis; tenebrosum","dry weight; roots growth; production biomass; yield; the biomass roots; growth metabolites",NA,"greenhouse",NA,"miltiorrhiza S.; medicinal plants; the miltiorrhiza S.; Salvia miltiorrhiza; miltiorrhiza",NA,NA,"Frontiers in Plant Science"
"97","10.3390/plants9121801","fertilizer; Al water-soluble; Al; PGPR; inoculation; Inoculation; four","arbuscular mycorrhizal fungus (AMF); rhizobia PGPR","seed biomass; biomass","Al-supplemented soil",NA,"Aluminium","pea; Pea plants",NA,NA,"Plants"
"98","10.3389/fpls.2020.516818","AMF2 soil; wet; dual-inoculation AMF/PGPR amended; the dual-inoculation; combinations; single biofertilizers dual; AMF2 C1 %; severe water stress; respectively C1 C2; C1 C2; combination composts alone alone; single multiple combinations; AMF2 AMF1+B2; B2; AMF2+C1+B2; in combination; AMF1 AMF2; AMF2 AMF2+C2; consortia PGPR; water stress; the amended inoculated; controls; non-inoculated non-amended; AMF1 AMF2 AMF1+B2 AMF2+C2; AMF1 AMF2 respectively; drought; AMF1 AMF2 C1 % AMF1+B2 soil; composts; single biofertilizers; compost dual inoculation The","plant growth-promoting rhizobacteria; arbuscular mycorrhizal fungi; exotic native","plant growth; the biomass",NA,NA,NA,"date palm; (semi)-arid; Phoenix dactylifera",NA,NA,"Frontiers in Plant Science"
"99","10.1016/j.envpol.2020.115980","Cd sup>-1</sup > catalase activities urease; Earthworms AMF; combined; Cd exposure; Earthworms fungi; Cd-stressed plants; uninoculated soil; Cd; Cd-mediated; AMF earthworms; inoculation","Rhizophagus intraradices; arbuscular mycorrhizal fungi (AMF)","plant biomass; biomass photosynthetic","polluted soil",NA,NA,"nigrum; Solanum nigrum",NA,NA,"Environmental Pollution"
"100","10.1007/s10646-020-02298-x","Ag; AgNPs < Ag<sup>+</sup; silver; AgNPs Ag<sup>+</sup>.; AgNPs Ag<sup>+</sup; AgNPs; the treatments; equivalent Ag<sup>+</sup>.; higher fungitoxicity colonization; AgNPs mg/kg; AgNPs < Ag<sup>+</sup>.; Ag<sup>+</sup>; AgNPs Ag<sup>+</sup>; mycorrhizal inoculation; Ag extractable; AM inoculation; P fertilization; soil biota; AgNPs < Ag<sup>+</sup> sup>+</sup","arbuscular mycorrhizal fungi; Rhizophagus intraradices","plant biomass; the growth uptake; plant growth",NA,"greenhouse pot","agroecosystems","maize exposed; maize",NA,NA,"Ecotoxicology"
"101","10.3390/ijms21217987","RWC; three mycorrhizal levels; drought most; AMF; soil inoculation control; the drought most; mycorrhizal fungi; (well-watered; three; drought; the microbiome; non-autoclaved soil-microorganisms; water regime levels; endophytic; Inoculation","the mycorrhizal irregularis fungi R.; autoclaved soil inoculation; arbuscular mycorrhizal fungi (AMF); Rhizophagus irregularis; natural inoculation; Rhizophagus irregularis control; endophytic core microbiome; autoclaved soil","dry weight; root growth; the growth activity; enhanced aboveground biomass weight; plant growth; growth",NA,"greenhouse; the field",NA,"Badenstern'; Badenkrone Zollernspelz' variety; T. aestivum; vulgare; Badenkrone Zollernspelz; aestivum; spelta; spelt; ssp Badenstern Badenkrone' Zollernspelz'; Badenkrone Zollernspelz'; Zollernspelz'; spelt common; wheat; Triticum; Badenstern' Badenkrone'",NA,NA,"International Journal of Molecular Sciences"
"102","10.1371/journal.pone.0234099","ectomycorrhizal; single- treatments; colonized; three; interspecific competition; three ectomycorrhizal; ectomycorrhizal fungal","S. S. americanus; Suillus; subaureus S. spraguei >; Suillus subaureus; ectomycorrhizal fungi; subaureus S. americanus; subaureus S. americanus spraguei; subaureus; subaureus S.; subaureus delayed; subaureus S. spraguei; S. spraguei; S. americanus","dry biomass; host growth; growth; dry biomasses",NA,NA,NA,"Pinus strobus; P. strobus",NA,NA,"PLOS ONE"
"103","10.1016/j.micres.2020.126556","PSBs; bacteria combination fungus and; AMF; three bacteria; PSB; combined microbial inoculum; single co-inoculations; the combination; PSBs These; nylon mesh; phosphate solubilizing bacteria; single inoculations","bacterial-fungal consortium; arbuscular mycorrhizal fungi (AMF); Rhizoglomus irregulare; irregulare R.; genus Pseudomonas; Phosphate-solubilizing bacteria","plant biomass; plant growth; growth uptake",NA,NA,NA,"Solanum lycopersicum; Leek; Allium ampeloprasum",NA,NA,"Microbiological Research"
"104","10.13227/j.hjkx.201906119","combined; Uninoculated plants; mycorrhizal fungi; water; rhizospheric soil; nitrification-denitrification; control group; inoculation; mycorrhizal fungi how","local soil; MF-MD; strain MF-MD obtained; MF-MD inoculation","microbial biomass",NA,NA,NA,"Cyperus alternifolius; Acorus tatarinowii",NA,NA,NA
"105","10.3390/jof6020087","ectomycorrhizal; the EM; AM fungi; an AM fungus; Ba Cd Zn; mycorrhizal fungi; all treatments; drought metal; Cd; dual inoculation; EM; Cu Pb Sn soil; Cu Pb; Cu Sn soil; inoculated; Ba Cd; an EM","arbuscular mycorrhizal (AM); EM fungus irregularis Sphaerosporella brunnea mixture; AM fungus Rhizophagus irregularis brunnea; Rhizophagus irregularis; Sphaerosporella brunnea; EM brunnea S.; brunnea S.","the element growth potential; biomass; growth; aerial plant biomass; biomass higher",NA,"field experiment","a decommissioned industrial landfill","willows the inoculated; Fast growing high biomass willows sp.; Salix; willows the; miyabeana; willows",NA,NA,"Journal of Fungi"
"106","10.3390/microorganisms8060899","control plants; soil types; Luvisol Gleysol Anthrosol; AMF; Gleysol Anthrosol; Luvisol Gleysol; Luvisol Gleysol conditions plants; Luvisol peat; PPO; treatment AMF; low; Gleysol Anthrosol peat; sterile peat","arbuscular mycorrhizal fungus (AMF); irregularis R.; Rizophagus irregularis; fungus AMF Rizophagus irregularis","plant biomass; essential oil yield; biomass density concentration quantity; oil yield",NA,"semi-open field; field; potted","peat; glandular","Artemisia annua; annua; Artemisia plants",NA,NA,"Microorganisms"
"107","10.1007/s00572-020-00962-y","ergosterol; control plants; salinity; mycorrhizal fungi; treatment; single dual inoculation; colonized; salinity dS/m; dual inoculation; single inoculation; salinity increasing; salinity Increasing; saline conditions; inoculation; no fungus; four replications; Inoculation","indica-inoculated; arbuscular mycorrhizal fungal markers; R. irregularis; indica; indica irregularis S.; indica indica irregularis irregularis S.; indica indica S.; indica R. irregularis; the Serendipita indica; R. irregularis ergosterol; indica S.; endophytic fungus fungus Serendipita indica; endophytic fungus Serendipita","dry weight; plant biomass; tomato growth",NA,NA,NA,"tomato; Tomato",NA,NA,"Mycorrhiza"
"108","10.1007/978-1-0716-0603-2_3","AMF inoculated; inoculated removed; Petri dish; ERM; tested different the plant-AMF combinations; AMF; other mycorrhizal; nylon net; membranes","arbuscular mycorrhizas; extraradical mycelium; arbuscular mycorrhizal fungi (AMF)","ERM fresh biomass",NA,NA,NA,NA,NA,NA,"Methods in Molecular Biology,Arbuscular Mycorrhizal Fungi"
"109","10.1186/s40529-020-00290-6","salt injury; combined; salt stress; AMF","Arbuscular mycorrhizal fungi inoculation; Arbuscular mycorrhizal fungi; Arbuscular mycorrhizal fungi (AMF)","biomass; plant growth; growth",NA,NA,NA,"glycophytes halophytes; glycophytes; Halophytes; halophytes Mycorrhizal; halophytes; glycophytes both halophytes; Glycophytes",NA,NA,"Botanical Studies"
"110","10.3390/microorganisms8030364","AMF inoculation; SRE; the inoculation; AMF; AMF rhizosphere; interaction inoculation; AMF inoculation itself; the AMF; TC; TN; AMF SRE","Arbuscular mycorrhizal fungi (AMF)","The growth; growth the; nitrogen aboveground biomass; growth tissue",NA,NA,"grassland degradation; degraded","grassland; L. chinensis; poisonous plants; grasslands; Stellera chamaejasme; chamaejasme S.; Leymus chinensis",NA,"chamaejasme; Northern China","Microorganisms"
"111","10.3390/microorganisms8030327","AM non-AM; combined; AMF; non-AM; AM; flavonoid sterol; alkali conditions; alkali stress; AM seedlings non-AM; without; with","AMF inoculation; arbuscular mycorrhizal fungi; arbuscular mycorrhizal fungi (AMF)","seedling biomass; yield","Soil alkalization",NA,"salt-alkali grassland restoration","P. tenuiflora; grass; grassland; Puccinellia tenuiflora",NA,"northeastern China","Microorganisms"
"112","10.3390/microorganisms8020230","CMNs; AM fungal; N fertilization; N2 treatment; soil nutrient; SOC; nylon mesh","arbuscular mycorrhizal (AM)","mean weight; plant biomass; plant growth; the growth",NA,NA,NA,"grass; squarrosa C.; Cleistogene squarrosa; steppe",NA,"Inner Mongolia","Microorganisms"
"113","10.1007/s00442-020-04598-9","Soil microbial communities; AMF; soil microbial communities; mycorrhizal fungi; local AMF; early successional; Late successional",NA,"growth; community biomass",NA,"community mesocosms",NA,NA,NA,NA,"Oecologia"
"114","10.1016/j.jhazmat.2019.121873","earthworms; AMF; heavy metal; Co-inoculation pH.; AMF only; Cd levels; AMF combination; Co-inoculation; Cd; AMF earthworms; earthworms combination; HM; Plants inoculated inoculated","Arbuscular mycorrhizal fungi (AMF)","plant biomass; plant growth; growth ameliorated; biomass shoot %","Cd-polluted soils; HM-polluted soils",NA,NA,"Solanum nigrum",NA,NA,"Journal of Hazardous Materials"
"115","10.1007/s00572-019-00927-w","TSP; PGPB; AMF; solubility levels; fertilized; Gafsa rock phosphate; AMF.These; RP; inoculated; triple superphosphate; three PGPB","plant growth-promoting bacteria; arbuscular mycorrhizal fungi (AMF)","biomass; the growth; growth tomato; plant growth; growth",NA,"pots",NA,"tomato; corn; corn Tomato; tomato corn",NA,NA,"Mycorrhiza"
"116","10.3389/fmicb.2019.02634","ectomycorrhizal; Treatment; treatment alone; sodium nitroprusside; low P stress; NO application; SNP treatment μmol/L alone; SNP treatments; Alphaproteobacteria Gammaproteobacteria; inoculation; SNP treatment; inoculated; alone","Tuber; Pseudomonas Ensifer; Ensifer Sulfitobacter; Phaeoisaria Ascotaiwania; Acremonium Monographella; Buellia Podospora; Pseudomonas Ensifer Sulfitobacter; Acremonium Monographella Penicillium; Acremonium Penicillium; Buellia Podospora Phaeoisaria; Podospora Phaeoisaria Ascotaiwania Lophiostoma; Phaeoisaria Lophiostoma","The growth rate; ratio biomass",NA,NA,NA,"Tuber indicum; truffle; truffles level quality; truffles plants; Carya illinoinensis; T. indicum; T. indicum-mycorrhized; Chinese black truffle",NA,NA,"Frontiers in Microbiology"
"117","10.3389/fmicb.2019.02591","Pb treatments; presence absence; treatments high; Inoculated plants; Pb treatments kg; Pb treatments all; inoculated non-inoculated; Pb; inoculation; the presence absence; Pb treatments high; Inoculation; non-inoculated","Funneliformis; mosseae F.; arbuscular mycorrhizal fungi; mosseae","The biomass","Pb-contaminated soil","pot experiment",NA,"Robinia; woody; grown pseudoacacia R.; black locust; fungi legumes; pseudoacacia",NA,NA,"Frontiers in Microbiology"
"118","10.1016/j.ecoenv.2019.109783","combinations; NPK; sulphex; pathogens soil-born; the following amendments; these treatments; integrated treatments; mildly infected; treatments These; paclobutrazol ABZ; chemical fungicide; AMF; Chemical fungicides; fungicide the treatment; ABZ Sulphex; humic acid + AMF; ABZ + AMF; chemical fungicides; control the treatment; Sulphex + AMF; fungicide treatment; mycorrhizae AMF; Inoculating; control treatment; humic acid","rolfsii; rolfsii S.; Sclerotium rolfsii","shoot biomass; the tuber yields; tuber yield",NA,"a field infected",NA,"Asteraceae family; canola; Helianthus tuberosus",NA,NA,"Ecotoxicology and Environmental Safety"
"119","10.1038/s41598-019-51369-5","AMF deficiency; AMF; ZIP; soil nutrient; without inoculation; with","Rhizophagus irregularis; ZIP; arbuscular mycorrhizal fungi (AMF)","plant biomass; biomass",NA,NA,NA,"Medicago truncatula",NA,NA,"Scientific Reports"
