"","study_id","INOCTYPE"
"436","10.1007/s11356-022-23919-4","intraradices mosseae r."
"437","10.1007/s11356-022-23919-4"," funneliformis mosseae"
"438","10.1007/s11356-022-23919-4"," arbuscular mycorrhizal (am)"
"439","10.1007/s11356-022-23919-4"," intraradices"
"440","10.1007/s11356-022-23919-4"," mosseae f."
"441","10.1007/s11356-022-23919-4"," intraradices mosseae f."
"442","10.1007/s11356-022-23919-4"," intraradices funneliformis mosseae"
"443","10.1007/s11356-022-23919-4"," rhizophagus intraradices mosseae"
"444","10.1007/s11356-022-23919-4"," intraradices r."
"445","10.1007/s11356-022-23919-4"," rhizophagus intraradices"
"446","10.1016/j.chemosphere.2022.137106","funneliformis mosseae nicol"
"447","10.1016/j.chemosphere.2022.137106"," arbuscular mycorrhizal (am)"
"448","10.1016/j.chemosphere.2022.137106"," bacillus"
"449","10.1016/j.chemosphere.2022.137106"," cereus"
"450","10.1016/j.chemosphere.2022.137106"," funneliformis mosseae"
"451","10.1016/j.chemosphere.2022.137106"," trappe"
"452","10.1016/j.chemosphere.2022.137106"," native bacterium"
"453","10.1007/s00248-022-02132-3","rhizophagus intraradices inoculated"
"454","10.1007/s00248-022-02132-3"," rhizophagus intraradices"
"455","10.1007/s00248-022-02132-3"," arbuscular mycorrhizal fungus"
"456","10.3389/fpls.2022.1015947","amf inoculation"
"457","10.3389/fpls.2022.1015947"," etunicatum septoglomus constrictum"
"458","10.3389/fpls.2022.1015947"," etunicatum c."
"459","10.3389/fpls.2022.1015947"," etunicatum constrictum inoculation c."
"460","10.3389/fpls.2022.1015947"," constrictum s."
"461","10.3389/fpls.2022.1015947"," arbuscular mycorrhizal fungi (amf)"
"462","10.3389/fpls.2022.1015947"," septoglomus constrictum"
"463","10.3389/fpls.2022.1015947"," claroideoglomus etunicatum"
"464","10.3389/fpls.2022.1015947"," etunicatum constrictum s."
"465","10.3389/fpls.2022.1015947"," claroideoglomus etunicatum constrictum"
"466","10.3390/toxics10100574","chinese"
"467","10.3390/toxics10100574"," arbuscular mycorrhizal (am)"
"468","10.3390/toxics10100574"," claroideoglomus etunicatum"
"469","10.3390/toxics10100574"," the fungus claroideoglomus etunicatum ce"
"470","10.3390/toxics10100565","amf inoculation"
"471","10.3390/toxics10100565"," funneliformis mosseae"
"472","10.3390/toxics10100565"," etunicatum funneliformis mosseae fm"
"473","10.3390/toxics10100565"," claroideoglomus etunicatum ce mosseae"
"474","10.3390/toxics10100565"," claroideoglomus etunicatum"
"475","10.3390/toxics10100565"," arbuscular mycorrhizal fungi (amf)"
"476","10.1080/15592324.2022.2134676","irregularis"
"477","10.1080/15592324.2022.2134676"," arbuscular mycorrhizal (am) fungi"
"478","10.1080/15592324.2022.2134676"," rhizophagus"
"479","10.1186/s12870-022-03790-8","amf inoculation"
"480","10.1186/s12870-022-03790-8"," native mycorrhizal fungi (amf)"
"481","10.3389/fpls.2022.968719","fungus"
"482","10.3389/fpls.2022.968719"," glomus etunicatum"
"483","10.3389/fpls.2022.968719"," fungus glomus etunicatum"
"484","10.3389/fpls.2022.968719"," arbuscular mycorrhizae fungi (amf)"
"485","10.1186/s12864-022-08797-x","arbuscular mycorrhizae (am)"
"486","10.1016/j.envpol.2022.120309","irregularis"
"487","10.1016/j.envpol.2022.120309"," arbuscular mycorrhizal fungi (amf)"
"488","10.1016/j.envpol.2022.120309"," rhizophagus"
"489","10.3389/fmicb.2022.1006140","funneliformis mosseae"
"490","10.3389/fmicb.2022.1006140"," mosseae"
"491","10.3389/fmicb.2022.1006140"," arbuscular mycorrhizal (am)"
"492","10.3389/fmicb.2022.1006140"," mosseae f."
"493","10.3390/plants11172276","local am fungal communities"
"494","10.3390/plants11172276"," arbuscular mycorrhizal (am)"
"495","10.3390/plants11172276"," commercial inoculants"
"496","10.3390/plants11172276"," commercial am fungal inoculants"
"497","10.3390/plants11172276"," commercial am fungal"
"498","10.3389/fpls.2022.965576","soil conditioned conditioned"
"499","10.3389/fpls.2022.965576"," soil conditioned"
"500","10.3389/fpls.2022.965576"," soil inoculum"
"501","10.1007/s11356-022-22540-9","amf inoculation"
"502","10.1007/s11356-022-22540-9"," funneliformis mosseae"
"503","10.1007/s11356-022-22540-9"," arbuscular mycorrhizal fungi (amf)"
"504","10.3389/fpls.2022.845794","rhizophagus prolifer"
"505","10.3389/fpls.2022.845794"," r. aggregatus"
"506","10.3389/fpls.2022.845794"," arbuscular mycorrhizal fungi (amf)"
"507","10.3389/fpls.2022.947547","arbuscular mycorrhizal fungi (amf)"
"508","10.3389/fmicb.2022.827293","whole soil"
"509","10.3389/fmicb.2022.827293"," greenhouse-cultured native amf"
"510","10.3389/fmicb.2022.827293"," arbuscular mycorrhizal fungi (amf)"
"511","10.3390/plants11141860","frankia hebeloma"
"512","10.3390/plants11141860"," frankia"
"513","10.1038/s41598-022-17075-5","am funneliformis mosseae"
"514","10.1038/s41598-022-17075-5"," funneliformis mosseae"
"515","10.1038/s41598-022-17075-5"," mosseae f."
"516","10.1038/s41598-022-17075-5"," amf fungi"
"517","10.1038/s41598-022-17075-5"," arbuscular mycorrhizal fungi (amf)"
"518","10.1038/s41396-022-01293-w","arbuscular mycorrhizal (am)"
"519","10.1002/fes3.370","arbuscular mycorrhizal fungi"
"520","10.1002/fes3.370"," arbuscular mycorrhizal symbioses"
"521","10.3390/plants11131780","intraradices g."
"522","10.3390/plants11131780"," glomus intraradices"
"523","10.3390/plants11131780"," the fungus glomus intraradices"
"524","10.3390/plants11131780"," arbuscular mycorrhizal fungi (amf)"
"525","10.3390/plants11131780"," fungus intraradices"
"526","10.3390/plants11131743","arbuscular mycorrhizal fungi (amf)"
"527","10.3390/plants11131743"," arbuscular mycorrhizal fungi (amf)"
"528","10.1016/j.envpol.2022.119661","funneliformis mosseae"
"529","10.1016/j.envpol.2022.119661"," arbuscular mycorrhizal fungi (amf)"
"530","10.3389/fpls.2022.898378","phragmitis chlamydospore a."
"531","10.3389/fpls.2022.898378"," alternaria chlamydospore"
"532","10.3389/fpls.2022.898378"," dse inoculation"
"533","10.3389/fpls.2022.898378"," microascus alveolaris"
"534","10.3389/fpls.2022.898378"," phragmitis chlamydospore n."
"535","10.3389/fpls.2022.898378"," neocamarosporium phragmitis chlamydospore alveolaris"
"536","10.3389/fpls.2022.898378"," neocamarosporium phragmitis"
"537","10.3389/fpls.2022.898378"," phragmitis microascus alveolaris"
"538","10.3389/fpls.2022.898378"," arbuscular mycorrhiza (am)"
"539","10.3389/fpls.2022.898378"," phragmitis alternaria chlamydospore"
"540","10.3389/fpls.2022.892826","plant growth-promoting rhizobacteria"
"541","10.3389/fpls.2022.892826"," pseudomonas fluorescens"
"542","10.3389/fpls.2022.892826"," mosseae rhizophagus irregularis"
"543","10.3389/fpls.2022.892826"," funneliformis mosseae"
"544","10.3389/fpls.2022.892826"," arbuscular mycorrhizal fungi (amf)"
"545","10.3389/fpls.2022.892826"," rhizophagus irregularis"
"546","10.3389/fpls.2022.892826"," pseudomonas fluorescens putida"
"547","10.3389/fpls.2022.892826"," funneliformis mosseae irregularis"
"548","10.3389/fpls.2022.898969","funneliformis"
"549","10.3389/fpls.2022.898969"," funneliformis mosseae"
"550","10.3389/fpls.2022.898969"," arbuscular mycorrhizal fungi (amf)"
"551","10.1016/j.plantsci.2022.111308","rhizophagus irregularis"
"552","10.3389/fmicb.2022.881442","glomus"
"553","10.3389/fmicb.2022.881442"," gigaspora"
"554","10.3389/fmicb.2022.881442"," native inoculum"
"555","10.3389/fmicb.2022.881442"," arbuscular mycorrhizal fungi (amf)"
"556","10.1016/j.jhazmat.2022.129077","arbuscular mycorrhizal fungi (amf)"
"557","10.3390/microorganisms10051042","arbuscular mycorrhizal (am)"
"558","10.3390/microorganisms10051042"," glomus"
"559","10.3390/microorganisms10051042"," trichoderma longibrachiatum fungi mycorrhizal"
"560","10.3390/microorganisms10051042"," filamentous fungi"
"561","10.3390/microorganisms10051042"," trichoderma"
"562","10.3390/microorganisms10051042"," longibrachiatum"
"563","10.3390/microorganisms10051042"," trichoderma longibrachiatum"
"564","10.3389/fpls.2022.880181","arbuscular mycorrhizal (am)"
"565","10.3389/fpls.2022.880181"," indigenous microorganisms (ami)"
"566","10.3389/fpls.2022.880181"," indigenous microorganisms"
"567","10.3389/fpls.2022.880181"," indigenous microorganisms restrained"
"568","10.1007/s11356-022-19838-z","funneliformis mosseae"
"569","10.1080/15226514.2022.2071832","glomus versiforme"
"570","10.1080/15226514.2022.2071832"," versiforme g."
"571","10.1080/15226514.2022.2071832"," fluorescens p."
"572","10.1080/15226514.2022.2071832"," pseudomonas %"
"573","10.1080/15226514.2022.2071832"," proteobacteria ascomycota"
"574","10.1080/15226514.2022.2071832"," bacterial"
"575","10.1080/15226514.2022.2071832"," % fusarium treated"
"576","10.1080/15226514.2022.2071832"," pseudomonas fluorescens"
"577","10.1080/15226514.2022.2071832"," sphingomonas"
"578","10.1080/15226514.2022.2071832"," pseudomonas fluorescens ps2 6"
"579","10.1371/journal.pone.0266526","arbuscular mycorrhizal (am)"
"580","10.1371/journal.pone.0266526"," indigenous microorganisms"
"581","10.1371/journal.pone.0266526"," indigenous microorganisms soil (ami)"
"582","10.3390/life12040497","funneliformis"
"583","10.3390/life12040497"," mosseae"
"584","10.3390/life12040497"," arbuscular mycorrhizal (am)"
"585","10.1002/ps.6923","rhizoglomus intraradices"
"586","10.1002/ps.6923"," arbuscular mycorrhizal fungi (amf)"
"587","10.1186/s12870-022-03514-y","arbuscular mycorrhizal (am)"
"588","10.3390/plants11070861","cotesia marginiventris"
"589","10.3390/plants11070861"," the shade avoidance syndrome sas"
"590","10.3390/plants11070861"," the parasitoid cotesia marginiventris"
"591","10.3390/plants11070861"," arbuscular mycorrhizal fungus"
"592","10.3389/fmicb.2022.814323","amf inoculation"
"593","10.3389/fmicb.2022.814323"," arbuscular mycorrhizal fungi (amf)"
"594","10.7717/peerj.13080","plant growth-promoting rhizobacteria"
"595","10.7717/peerj.13080"," arbuscular mycorrhizal fungi (amf)"
"596","10.3390/molecules27061752","rhizophagus irregularis"
"597","10.3390/molecules27061752"," rhizophagus irregularis mucl"
"598","10.3390/molecules27061752"," arbuscular mycorrhizal fungi (amf)"
"599","10.1111/plb.13402","amnat inoculum"
"600","10.1111/plb.13402"," arbuscular mycorrhizal (am)"
"601","10.1007/s00203-022-02786-0","rhodotorula"
"602","10.1007/s00203-022-02786-0"," meyerozyma guilliermondii"
"603","10.1007/s00203-022-02786-0"," saccharomyces cerevisiae"
"604","10.1007/s00203-022-02786-0"," rhizobia"
"605","10.1007/s00203-022-02786-0"," the strain saccharomyces cerevisiae"
"606","10.1007/s00203-022-02786-0"," mucilaginosa"
"607","10.1007/s00203-022-02786-0"," indigenous soil"
"608","10.1007/s00203-022-02786-0"," debaryomyces"
"609","10.1007/s00203-022-02786-0"," soil yeasts"
"610","10.1007/s00203-022-02786-0"," meyerozyma guilliermondii mt259039"
"611","10.1007/s00203-022-02786-0"," hansenii"
"612","10.1016/j.scitotenv.2022.153696","arbuscular mycorrhizal fungi"
"613","10.3390/plants11010089","plant inoculation"
"614","10.3390/plants11010089"," r. irregulare mock-inoculated"
"615","10.3390/plants11010089"," amf inoculation"
"616","10.3390/plants11010089"," arbuscular mycorrhiza fungi (amf)"
"617","10.1007/s00248-021-01945-y","intraradices g. etunicatum aggregatum"
"618","10.1007/s00248-021-01945-y"," g. etunicatum aggregatum"
"619","10.1007/s00248-021-01945-y"," glomus intraradices"
"620","10.1007/s00248-021-01945-y"," amf inoculum"
"621","10.1007/s00248-021-01945-y"," arbuscular mycorrhizal fungi (amf)"
"622","10.1007/s00248-021-01945-y"," intraradices g. mosseae"
"623","10.1007/s00248-021-01945-y"," glomus intraradices mosseae etunicatum"
"624","10.1007/s00248-021-01945-y"," commercial mix"
"625","10.1007/s00572-021-01059-w","indigenous am fungi"
"626","10.1007/s00572-021-01059-w"," arbuscular mycorrhizal (am)"
"627","10.3390/plants10122716","indigenous mycorrhizal inoculum"
"628","10.3390/plants10122716"," amf inoculum"
"629","10.3390/plants10122716"," indigenous inoculum"
"630","10.3390/plants10122716"," arbuscular mycorrhizal fungi (amf)"
"631","10.3390/plants10122716"," bacterial"
"632","10.3390/plants10122716"," amf-mixed inoculums"
"633","10.1007/s00284-021-02682-8","proteobacteria actinobacteria"
"634","10.1007/s00284-021-02682-8"," chloroflexi"
"635","10.1007/s00284-021-02682-8","   pedomicrbium acinetobacter"
"636","10.1007/s00284-021-02682-8"," bacillus megaterium"
"637","10.1007/s00284-021-02682-8"," pedomicrbium nitrospira"
"638","10.1007/s00284-021-02682-8","   candidatus pedomicrbium thermoporothrix acinetobacter nitrospira"
"639","10.1007/s00284-021-02682-8"," arbuscular mycorrhizal fungi (am rhizophagus"
"640","10.1007/s00284-021-02682-8"," proteobacteria actinobacteria acidobacteria"
"641","10.1007/s00284-021-02682-8","   bradyrhizobium"
"642","10.1007/s00284-021-02682-8","   candidatus pedomicrbium"
"643","10.1007/s00284-021-02682-8"," zsb2-   bacillus megaterium ncbi-ky687496"
"644","10.1007/s00284-021-02682-8"," pedomicrbium thermoporothrix"
"645","10.1038/s41598-021-03132-y","ectomycorrhizal fungus (emf)"
"646","10.1002/eap.2501",NA
"647","10.1002/ppp3.10094","arbuscular mycorrhizal"
"648","10.1002/ppp3.10094"," arbuscular mycorrhizal fungal (amf)"
"649","10.1002/ppp3.10094"," commercial mycorrhizal inoculant"
"650","10.1002/ppp3.10094"," commercially available amf inoculant"
"651","10.1002/ppp3.10094"," arbuscular mycorrhizas"
"652","10.1002/ppp3.10094"," arbuscular mycorrhizal fungi"
"653","10.1016/j.crmicr.2021.100061","arbuscular mycorrhizal fungi"
"654","10.1371/journal.pone.0259959","intraradices"
"655","10.1371/journal.pone.0259959"," rhizophagus intraradices"
"656","10.1371/journal.pone.0259959"," arbuscular mycorrhizal (am)"
"657","10.1016/j.scitotenv.2021.151803",NA
"658","10.1007/s11356-021-17256-1","indica indica formerly piriformospora"
"659","10.1007/s11356-021-17256-1"," endophytic fungi"
"660","10.1007/s11356-021-17256-1"," funneliformis indica"
"661","10.1007/s11356-021-17256-1"," funneliformis mosseae indica indica mycorrhizal fungi"
"662","10.1007/s11356-021-17256-1"," indica piriformospora"
"663","10.1007/s11356-021-17256-1"," arbuscular mycorrhizal (amf)"
"664","10.1007/s11356-021-17256-1"," mosseae serendipita"
"665","10.1007/s11356-021-17256-1"," indica s."
"666","10.1007/s11356-021-17256-1"," mosseae serendipita indica"
"667","10.1007/s11356-021-17256-1"," fungal inoculation"
"668","10.1016/j.scitotenv.2021.151649","rhizophagus irregularis"
"669","10.1016/j.scitotenv.2021.151649"," arbuscular mycorrhizal (am)"
"670","10.1016/j.scitotenv.2021.151649"," am fungus rhizophagus irregularis m+ m-"
"671","10.1080/15226514.2021.2002809","algoriphagus gaetbulibacter pseudomonas"
"672","10.1080/15226514.2021.2002809"," gaetbulibacter pseudomonas luteimonas arthrobacter"
"673","10.1080/15226514.2021.2002809"," bacteroides proteobacteria actinobacteria"
"674","10.1080/15226514.2021.2002809"," flavobacterium pedobacter algoriphagus"
"675","10.1080/15226514.2021.2002809"," pseudomonas luteimonas"
"676","10.1080/15226514.2021.2002809"," bacteroides proteobacteria"
"677","10.1080/15226514.2021.2002809"," bacteroides actinobacteria"
"678","10.1080/15226514.2021.2002809"," flavobacterium pedobacter"
"679","10.1080/15226514.2021.2002809"," pedobacter algoriphagus gaetbulibacter"
"680","10.1080/15226514.2021.2002809"," pseudomonas arthrobacter"
"681","10.1080/15226514.2021.2002809"," mortierella"
"682","10.1080/15226514.2021.2002809"," arbuscular mycorrhizal fungi (amf)"
"683","10.1007/s00572-021-01057-y","liquefied root inocula"
"684","10.1007/s00572-021-01057-y"," glomus"
"685","10.1007/s00572-021-01057-y"," amf inoculum"
"686","10.1007/s00572-021-01057-y"," arbuscular mycorrhizal fungi"
"687","10.1007/s00572-021-01057-y"," arbuscular mycorrhizal fungi (amf)"
"688","10.3389/fpls.2021.740524","amf inoculation"
"689","10.3389/fpls.2021.740524"," rhizophagus intraradices"
"690","10.3389/fpls.2021.740524"," arbuscular mycorrhizal fungi (amf)"
"691","10.1016/j.sjbs.2021.08.016","arbuscular mycorrhizal fungi (amf)"
"692","10.3390/plants10091948","funneliformis mosseae"
"693","10.3390/plants10091948"," arbuscular mycorrhizal fungi (am fungi"
"694","10.3390/microorganisms9091803","etunicatum funneliformis mosseae taxon"
"695","10.3390/microorganisms9091803"," undisturbed soil"
"696","10.3390/microorganisms9091803"," sebacina"
"697","10.3390/microorganisms9091803"," claroideoglomus etunicatum mosseae"
"698","10.3390/microorganisms9091803"," microbial suspension"
"699","10.3390/microorganisms9091803"," glomus"
"700","10.3390/microorganisms9091803"," funneliformis mosseae"
"701","10.3390/microorganisms9091803"," arbuscular mycorrhizal fungi (amf)"
"702","10.3390/microorganisms9091803"," fungal bacterial"
"703","10.3390/microorganisms9091803"," the suspension"
"704","10.3390/microorganisms9091803"," trichoderma"
"705","10.3390/microorganisms9091803"," claroideoglomus etunicatum"
"706","10.1038/s41598-021-97674-w","arbuscular mycorrhizal (am)"
"707","10.1016/j.scitotenv.2021.149904","glomus"
"708","10.1016/j.scitotenv.2021.149904"," amf inoculation"
"709","10.1016/j.scitotenv.2021.149904"," arbuscular mycorrhizal fungi (amf)"
"710","10.3390/molecules26175321",NA
"711","10.1016/j.jhazmat.2021.125894","am fungus rhizophagus intraradices ri"
"712","10.1016/j.jhazmat.2021.125894"," rhizophagus intraradices"
"713","10.1016/j.jhazmat.2021.125894"," arbuscular mycorrhizal fungi (amf)"
"714","10.1016/j.scitotenv.2021.149843","amf inoculation"
"715","10.1016/j.scitotenv.2021.149843"," acaulospora colombiana albida"
"716","10.1016/j.scitotenv.2021.149843"," gigaspora albida"
"717","10.1016/j.scitotenv.2021.149843"," soil bacterial"
"718","10.1016/j.scitotenv.2021.149843"," arbuscular mycorrhizal fungi (amf)"
"719","10.1016/j.scitotenv.2021.149843"," acaulospora colombiana"
"720","10.1016/j.scitotenv.2021.149843"," bacterial"
"721","10.1016/j.scitotenv.2021.149843"," colombiana gigaspora albida"
"722","10.1016/j.scitotenv.2021.149843"," claroideoglomus etunicatum"
"723","10.1007/s00572-021-01048-z","hebeloma cylindrosporum"
"724","10.1007/s00572-021-01048-z"," ectomycorrhizal fungi"
"725","10.1007/s00572-021-01048-z"," laccaria bicolor"
"726","10.1007/s00572-021-01048-z"," suillus cothurnatus"
"727","10.1007/s00572-021-01048-z"," paxillus ammoniavirescens"
"728","10.1007/s00572-021-01048-z"," laccaria bicolor cothurnatus"
"729","10.1007/s00572-021-01048-z"," bicolor suillus cothurnatus"
"730","10.1007/s00248-021-01841-5","arbuscular mycorrhizal fungi (amf)"
"731","10.1016/j.jenvman.2021.113516","amf-glomus versiforme gv"
"732","10.1016/j.jenvman.2021.113516"," arbuscular mycorrhizal fungus (amf)"
"733","10.1016/j.jenvman.2021.113516"," amf-glomus versiforme"
"734","10.1016/j.jtbi.2021.110859","arbuscular mycorrhizal (am)"
"735","10.1038/s41598-021-94092-w","amf inoculation"
"736","10.1038/s41598-021-94092-w"," arbuscular mycorrhizal fungus (amf)"
"737","10.3389/fpls.2021.693044","ectomycorrhizal inoculum"
"738","10.3389/fpls.2021.693044"," commercial arbuscular mycorrhizal"
"739","10.1007/s11356-021-15326-y","amf inoculation"
"740","10.1007/s11356-021-15326-y"," arbuscular mycorrhizal fungi (amf)"
"741","10.1007/s00128-021-03329-x","funneliformis mosseae"
"742","10.1007/s00128-021-03329-x"," funneliformis mosseae iron"
"743","10.1007/s00128-021-03329-x"," arbuscular mycorrhizal fungi (amf)"
"744","10.3390/plants10071333","rhizophagus irregularis"
"745","10.3390/plants10071333"," arbuscular mycorrhiza fungus"
"746","10.3390/plants10071333"," rhizophagus irregularis amf3"
"747","10.1007/s11356-021-15045-4","arbuscular mycorrhizal fungus (amf)"
"748","10.1002/jsfa.11382","microbial consortium inoculant"
"749","10.1002/jsfa.11382"," microbial consortium inoculant"
"750","10.1007/s11356-021-14821-6","funneliformis mosseae"
"751","10.1007/s11356-021-14821-6"," rhizophagus intraradices"
"752","10.3390/plants10050950","obtained inocula"
"753","10.3390/plants10050950"," indigenous consortium"
"754","10.3390/plants10050950"," amf inoculum"
"755","10.3390/plants10050950"," arbuscular mycorrhizal fungi (amf)"
"756","10.3390/jof7050361","mosseae"
"757","10.3390/jof7050361"," rhizobium"
"758","10.3390/jof7050361"," arbuscular mycorrhizal fungi (amf)"
"759","10.3390/jof7050361"," funneliformis"
"760","10.3390/jof7050361"," leguminosarum"
"761","10.1016/j.scitotenv.2021.147944",NA
"762","10.1016/j.scitotenv.2021.147943","indigenous fungi"
"763","10.1016/j.scitotenv.2021.147943"," arbuscular mycorrhizal fungi"
"764","10.1016/j.scitotenv.2021.147943"," commercial inoculum"
"765","10.1016/j.scitotenv.2021.147943"," ectomycorrhizal fungi"
"766","10.13287/j.1001-9332.202105.022","arbuscular mycorrhizal fungi (amf)"
"767","10.1111/ppl.13454","bacillus amyloliquefaciens fungi"
"768","10.1111/ppl.13454"," amyloliquefaciens amf b."
"769","10.1111/ppl.13454"," bacillus amyloliquefaciens"
"770","10.1111/ppl.13454"," arbuscular mycorrhizal fungi (amf)"
"771","10.1111/ppl.13454"," amyloliquefaciens b."
"772","10.1016/j.ecoenv.2021.112154","amf inoculation"
"773","10.1016/j.ecoenv.2021.112154"," fungal inoculation"
"774","10.1016/j.ecoenv.2021.112154"," arbuscular mycorrhizal fungi (amf)"
"775","10.1007/s00572-021-01031-8","arbuscular mycorrhizal (am)"
"776","10.3389/fmicb.2021.618169","arbuscular mycorrhizal fungi"
"777","10.1186/s12870-021-02949-z","japonicum b."
"778","10.1186/s12870-021-02949-z"," japonicum japonicum b."
"779","10.1186/s12870-021-02949-z"," bradyrhizobium japonicum"
"780","10.1186/s12870-021-02949-z"," arbuscular mycorrhizal fungi (amf)"
"781","10.1186/s12870-021-02949-z"," bradyrhizobium japonicum japonicum"
"782","10.1007/s11356-021-13755-3","amf inoculation"
"783","10.1007/s11356-021-13755-3"," arbuscular mycorrhizal fungi (amf)"
"784","10.3389/fpls.2021.614162","funneliformis"
"785","10.3389/fpls.2021.614162"," amf inoculation"
"786","10.3389/fpls.2021.614162"," mosseae"
"787","10.3389/fpls.2021.614162"," arbuscular mycorrhizal fungi (amf)"
"788","10.1016/j.ecoenv.2021.112170","arbuscular mycorrhizal (am)"
"789","10.1016/j.ecoenv.2021.112170"," funneliformis caledonium"
"790","10.1016/j.ecoenv.2021.112170"," caledonium f."
"791","10.1007/s00572-021-01028-3","ectomycorrhizal pine"
"792","10.1007/s00572-021-01028-3"," basidiospore inocula"
"793","10.1007/s00572-021-01028-3"," tricholoma matsutake"
"794","10.1007/s00572-021-01028-3"," cultured mycelium"
"795","10.13227/j.hjkx.202008154","rhizophagus intraradices"
"796","10.13227/j.hjkx.202008154"," bacterial fungal"
"797","10.13227/j.hjkx.202008154"," arbuscular mycorrhizal (am)"
"798","10.1038/s41598-021-85497-8","aestivum"
"799","10.1038/s41598-021-85497-8"," tuber"
"800","10.1038/s41598-021-85497-8"," truffle"
"801","10.1038/s41598-021-85497-8"," tuber aestivum"
"802","10.1016/j.ecoenv.2021.112072","trichoderma viride"
"803","10.1016/j.ecoenv.2021.112072"," arbuscular mycorrhizal fungi (amf)"
"804","10.1016/j.ecoenv.2021.112072"," trichoderma"
"805","10.1016/j.ecoenv.2021.112072"," viride t."
"806","10.1016/j.ecoenv.2021.112072"," viride"
"807","10.1002/jeq2.20212","native inoculum"
"808","10.1002/jeq2.20212"," arbuscular mycorrhizal (am)"
"809","10.1002/jeq2.20212"," native soil inoculum"
"810","10.1002/jeq2.20212"," rhizophagus intraradices gc3 used"
"811","10.1002/jeq2.20212"," rhizophagus intraradices"
"812","10.3389/fpls.2021.617892","amf inoculation"
"813","10.3389/fpls.2021.617892"," arbuscular mycorrhiza fungi (amfs)"
"814","10.3389/fpls.2021.617892"," funneliformis geosporum"
"815","10.3389/fpls.2021.617892"," amfs inoculation"
"816","10.3389/fpls.2021.617892"," gerdemanii acaulospora laevis"
"817","10.3389/fpls.2021.617892"," manihotis ambispora gerdemanii laevis"
"818","10.3389/fpls.2021.617892"," geosporum ac"
"819","10.3389/fpls.2021.617892"," septoglomus constrictum geosporum"
"820","10.3389/fpls.2021.617892"," septoglomus constrictum"
"821","10.3389/fpls.2021.617892"," rhizophagus manihotis"
"822","10.3389/fpls.2021.617892"," acaulospora laevis"
"823","10.3389/fpls.2021.617892"," geosporum rhizophagus manihotis gerdemanii"
"824","10.3389/fpls.2021.617892"," gl laevis"
"825","10.3389/fpls.2021.617892"," ambispora gerdemanii"
"826","10.3389/fpls.2021.617892"," glomus formosanum"
"827","10.3389/fpls.2021.617892"," geosporum"
"828","10.3389/fpls.2021.617892"," glomus formosanum tenebrosum ac"
"829","10.3389/fpls.2021.617892"," tuberculata"
"830","10.3389/fpls.2021.617892"," formosanum"
"831","10.3389/fpls.2021.617892"," laevis"
"832","10.3389/fpls.2021.617892"," native amfs"
"833","10.3389/fpls.2021.617892"," constrictum funneliformis geosporum manihotis"
"834","10.3389/fpls.2021.617892"," tenebrosum"
"835","10.1007/s00248-021-01710-1","rhizophagus clarus"
"836","10.1007/s00248-021-01710-1"," funneliformis mosseae"
"837","10.1007/s00248-021-01710-1"," claroideoglomus eutunicatum"
"838","10.1007/s00248-021-01710-1"," commercial inoculant"
"839","10.1007/s00248-021-01710-1"," claroideoglomus eutunicatum increase clarus"
"840","10.1007/s00248-021-01710-1"," arbuscular mycorrhizal fungi (amf)"
"841","10.1007/s00248-021-01710-1"," eutunicatum increase c. intraradices"
"842","10.1007/s00248-021-01710-1"," clarus r."
"843","10.1007/s00248-021-01710-1"," eutunicatum increase rhizophagus intraradices"
"844","10.1007/s00248-021-01710-1"," rhizophagus intraradices"
"845","10.1007/s00248-021-01710-1"," eutunicatum increase rhizophagus clarus"
"846","10.1007/s00128-021-03113-x","intraradices-inoculated"
"847","10.1007/s00128-021-03113-x"," funneliformis mosseae"
"848","10.1007/s00128-021-03113-x"," mosseae f."
"849","10.1007/s00128-021-03113-x"," intraradices funneliformis mosseae"
"850","10.1007/s00128-021-03113-x"," rhizophagus intraradices mosseae"
"851","10.1007/s00128-021-03113-x"," intraradices r."
"852","10.1007/s00128-021-03113-x"," rhizophagus intraradices"
"853","10.1007/s00128-021-03113-x"," intraradices r. especially"
"854","10.1016/j.ecoenv.2021.111996","la10"
"855","10.1016/j.ecoenv.2021.111996"," fungi agrococcus microbacterium streptomyces"
"856","10.1016/j.ecoenv.2021.111996"," penicillium"
"857","10.1016/j.ecoenv.2021.111996"," lysobacter saccharothrix agrococcus"
"858","10.1016/j.ecoenv.2021.111996"," streptomyces penicillium genus"
"859","10.1016/j.ecoenv.2021.111996"," bacterial fungal"
"860","10.1016/j.ecoenv.2021.111996"," arbuscular mycorrhizal fungi (amf)"
"861","10.1016/j.ecoenv.2021.111996"," claroideoglomus etunicatum"
"862","10.1016/j.ecoenv.2021.111996"," planomicrobium lysobacter saccharothrix"
"863","10.1016/j.ecoenv.2021.111996"," planomicrobium lysobacter"
"864","10.1016/j.ecoenv.2021.111996"," saccharothrix agrococcus microbacterium"
"865","10.1016/j.ecoenv.2021.111996"," microbacterium streptomyces penicillium"
"866","10.1016/j.envpol.2021.116499","diazotroph bacteria"
"867","10.1016/j.envpol.2021.116499"," earthworm inoculation"
"868","10.3389/fmicb.2020.586050","arbuscular mycorrhizal fungi"
"869","10.1016/j.sjbs.2020.09.053","rhizoglomus irregulare designated"
"870","10.1016/j.sjbs.2020.09.053"," irregulare putida putida r."
